Carl: X
X________; O; {(0, 1): O: 3, (0, 2): O: 2, (1, 1): O: 3, (1, 2): O: 6, (2, 2): O: 3}
______________O_________________________________________________X_______X________; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (0, 5): O: 3, (0, 6): O: 3, (0, 7): O: 3, (0, 8): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 6): O: 3, (1, 7): O: 3, (1, 8): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (2, 6): O: 2, (2, 7): O: 3, (2, 8): O: 3, (3, 0): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (3, 6): O: 3, (3, 7): O: 3, (3, 8): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (4, 6): O: 3, (4, 7): O: 3, (4, 8): O: 3, (5, 0): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3, (5, 6): O: 3, (5, 7): O: 3, (5, 8): O: 3, (6, 0): O: 3, (6, 1): O: 3, (6, 2): O: 3, (6, 3): O: 3, (6, 4): O: 3, (6, 5): O: 3, (6, 6): O: 3, (6, 7): O: 3, (6, 8): O: 3, (7, 0): O: 3, (7, 2): O: 3, (7, 3): O: 3, (7, 4): O: 3, (7, 5): O: 3, (7, 6): O: 3, (7, 7): O: 3, (7, 8): O: 3, (8, 1): O: 3, (8, 2): O: 3, (8, 3): O: 3, (8, 4): O: 3, (8, 5): O: 3, (8, 6): O: 3, (8, 7): O: 3, (8, 8): O: 3}
______________O_________O_______________________________________X_______X_______X; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (0, 5): O: 3, (0, 6): O: 3, (0, 7): O: 3, (0, 8): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 6): O: 3, (1, 7): O: 3, (1, 8): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (2, 7): O: 3, (2, 8): O: 3, (3, 0): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (3, 6): O: 3, (3, 7): O: 3, (3, 8): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (4, 6): O: 3, (4, 7): O: 3, (4, 8): O: 3, (5, 0): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3, (5, 6): O: 3, (5, 7): O: 3, (5, 8): O: 3, (6, 0): O: 3, (6, 1): O: 3, (6, 2): O: 3, (6, 3): O: 3, (6, 4): O: 3, (6, 5): O: 3, (6, 6): O: 3, (6, 7): O: 3, (6, 8): O: 3, (7, 0): O: 3, (7, 2): O: 3, (7, 3): O: 3, (7, 4): O: 3, (7, 5): O: 2, (7, 6): O: 3, (7, 7): O: 3, (7, 8): O: 3, (8, 1): O: 3, (8, 2): O: 3, (8, 3): O: 3, (8, 4): O: 3, (8, 5): O: 3, (8, 6): O: 3, (8, 7): O: 3}
______________O_________O_______________________________________X___O___X______XX; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (0, 5): O: 3, (0, 6): O: 3, (0, 7): O: 3, (0, 8): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 6): O: 3, (1, 7): O: 3, (1, 8): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (2, 7): O: 3, (2, 8): O: 3, (3, 0): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (3, 6): O: 3, (3, 7): O: 3, (3, 8): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (4, 6): O: 3, (4, 7): O: 3, (4, 8): O: 3, (5, 0): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3, (5, 6): O: 3, (5, 7): O: 3, (5, 8): O: 3, (6, 0): O: 3, (6, 1): O: 3, (6, 2): O: 3, (6, 3): O: 3, (6, 4): O: 3, (6, 5): O: 3, (6, 6): O: 3, (6, 7): O: 3, (6, 8): O: 3, (7, 0): O: 3, (7, 2): O: 2, (7, 3): O: 3, (7, 4): O: 3, (7, 6): O: 3, (7, 7): O: 3, (7, 8): O: 3, (8, 1): O: 3, (8, 2): O: 3, (8, 3): O: 3, (8, 4): O: 3, (8, 5): O: 3, (8, 6): O: 3}
______________O_________O_______________________________________XO__O___X_____XXX; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (0, 5): O: 3, (0, 6): O: 3, (0, 7): O: 3, (0, 8): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 6): O: 3, (1, 7): O: 3, (1, 8): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (2, 7): O: 3, (2, 8): O: 3, (3, 0): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (3, 6): O: 3, (3, 7): O: 3, (3, 8): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (4, 6): O: 3, (4, 7): O: 3, (4, 8): O: 3, (5, 0): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3, (5, 6): O: 3, (5, 7): O: 3, (5, 8): O: 3, (6, 0): O: 2, (6, 1): O: 3, (6, 2): O: 3, (6, 3): O: 3, (6, 4): O: 3, (6, 5): O: 3, (6, 6): O: 3, (6, 7): O: 3, (6, 8): O: 3, (7, 0): O: 3, (7, 3): O: 3, (7, 4): O: 3, (7, 6): O: 3, (7, 7): O: 3, (7, 8): O: 3, (8, 1): O: 3, (8, 2): O: 3, (8, 3): O: 3, (8, 4): O: 3, (8, 5): O: 3}
______________O_________O_____________________________O_________XO__O___X____XXXX; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (0, 5): O: 3, (0, 6): O: 3, (0, 7): O: 3, (0, 8): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 6): O: 3, (1, 7): O: 3, (1, 8): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (2, 7): O: 3, (2, 8): O: 3, (3, 0): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (3, 6): O: 3, (3, 7): O: 3, (3, 8): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (4, 6): O: 3, (4, 7): O: 3, (4, 8): O: 3, (5, 0): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3, (5, 6): O: 3, (5, 7): O: 3, (5, 8): O: 3, (6, 1): O: 3, (6, 2): O: 3, (6, 3): O: 3, (6, 4): O: 2, (6, 5): O: 3, (6, 6): O: 3, (6, 7): O: 3, (6, 8): O: 3, (7, 0): O: 3, (7, 3): O: 3, (7, 4): O: 3, (7, 6): O: 3, (7, 7): O: 3, (7, 8): O: 3, (8, 1): O: 3, (8, 2): O: 3, (8, 3): O: 3, (8, 4): O: 3}
______________O_________O_____________________________O___O_____XO__O___X___XXXXX; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (0, 5): O: 3, (0, 6): O: 3, (0, 7): O: 3, (0, 8): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 6): O: 3, (1, 7): O: 3, (1, 8): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (2, 7): O: 3, (2, 8): O: 3, (3, 0): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (3, 6): O: 3, (3, 7): O: 3, (3, 8): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (4, 6): O: 3, (4, 7): O: 3, (4, 8): O: 3, (5, 0): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3, (5, 6): O: 3, (5, 7): O: 3, (5, 8): O: 3, (6, 1): O: 3, (6, 2): O: 3, (6, 3): O: 2, (6, 5): O: 3, (6, 6): O: 3, (6, 7): O: 3, (6, 8): O: 3, (7, 0): O: 3, (7, 3): O: 3, (7, 4): O: 3, (7, 6): O: 3, (7, 7): O: 3, (7, 8): O: 3, (8, 1): O: 3, (8, 2): O: 3, (8, 3): O: 3}
______________O_________O_____________________________O__OO_____XO__O___X__XXXXXX; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (0, 5): O: 3, (0, 6): O: 3, (0, 7): O: 3, (0, 8): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 6): O: 3, (1, 7): O: 3, (1, 8): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 2, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (2, 7): O: 3, (2, 8): O: 3, (3, 0): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (3, 6): O: 3, (3, 7): O: 3, (3, 8): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (4, 6): O: 3, (4, 7): O: 3, (4, 8): O: 3, (5, 0): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3, (5, 6): O: 3, (5, 7): O: 3, (5, 8): O: 3, (6, 1): O: 3, (6, 2): O: 3, (6, 5): O: 3, (6, 6): O: 3, (6, 7): O: 3, (6, 8): O: 3, (7, 0): O: 3, (7, 3): O: 3, (7, 4): O: 3, (7, 6): O: 3, (7, 7): O: 3, (7, 8): O: 3, (8, 1): O: 3, (8, 2): O: 3}
______________O_____O___O_____________________________O__OO_____XO__O___X_XXXXXXX; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (0, 5): O: 3, (0, 6): O: 3, (0, 7): O: 3, (0, 8): O: 3, (1, 0): O: 2, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 6): O: 3, (1, 7): O: 3, (1, 8): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (2, 7): O: 3, (2, 8): O: 3, (3, 0): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (3, 6): O: 3, (3, 7): O: 3, (3, 8): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (4, 6): O: 3, (4, 7): O: 3, (4, 8): O: 3, (5, 0): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3, (5, 6): O: 3, (5, 7): O: 3, (5, 8): O: 3, (6, 1): O: 3, (6, 2): O: 3, (6, 5): O: 3, (6, 6): O: 3, (6, 7): O: 3, (6, 8): O: 3, (7, 0): O: 3, (7, 3): O: 3, (7, 4): O: 3, (7, 6): O: 3, (7, 7): O: 3, (7, 8): O: 3, (8, 1): O: 3}
_________________X_______________________________; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3, (3, 0): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (5, 0): O: 4, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (6, 0): O: 3, (6, 1): O: 3, (6, 2): O: 3, (6, 3): O: 3}
_________________X_________________O______X______; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (0, 5): O: 3, (0, 6): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (1, 6): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (2, 6): O: 3, (3, 0): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (3, 6): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (4, 6): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3, (5, 6): O: 3, (6, 1): O: 3, (6, 2): O: 3, (6, 3): O: 3, (6, 4): O: 4, (6, 5): O: 3, (6, 6): O: 3}
_________________X_________________O______X___O_X; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (0, 5): O: 4, (0, 6): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (1, 6): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (2, 6): O: 3, (3, 0): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (3, 6): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (4, 6): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3, (5, 6): O: 3, (6, 1): O: 3, (6, 2): O: 3, (6, 3): O: 3, (6, 5): O: 3}
_____O___________X___X_____________O______X___O_X; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (0, 6): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (1, 6): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (2, 6): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 4, (3, 5): O: 3, (3, 6): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (4, 6): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3, (5, 6): O: 3, (6, 1): O: 3, (6, 2): O: 3, (6, 3): O: 3, (6, 5): O: 3}
_____O___X_______X___X___O_________O______X___O_X; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (0, 6): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (1, 6): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (2, 6): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 5): O: 3, (3, 6): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 4, (4, 4): O: 3, (4, 5): O: 3, (4, 6): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3, (5, 6): O: 3, (6, 1): O: 3, (6, 2): O: 3, (6, 3): O: 3, (6, 5): O: 3}
