MENACE 2: O
XXO__XOXO; O; {(1, 0): O: 1, (1, 1): O: 15}
X____O__X; O; {(0, 1): O: 1, (0, 2): O: 2, (1, 0): O: 2, (1, 1): O: 12, (2, 0): O: 4, (2, 1): O: 3}
XO___OX_X; O; {(0, 2): O: 1, (1, 0): O: 3, (1, 1): O: 3}
X___XO_XO; O; {(0, 1): O: 3, (0, 2): O: 12, (1, 0): O: 5, (2, 0): O: 3}
XO_OX__X_; O; {(0, 2): O: 3, (1, 2): O: 1, (2, 0): O: 2, (2, 2): O: 4}
XO_OXOXX_; O; {(0, 2): O: 2, (2, 2): O: 3}
OO__XX_X_; O; {(0, 2): O: 27, (1, 0): O: 11, (2, 0): O: 1}
OX___OX_X; O; {(0, 2): O: 3, (1, 0): O: 5, (1, 1): O: 2, (2, 1): O: 3}
OXO_XOX_X; O; {(2, 1): O: 44}
X___OOX_X; O; {(0, 1): O: 3, (0, 2): O: 3, (1, 0): O: 6, (2, 1): O: 3}
XXO_O__X_; O; {(1, 0): O: 3, (1, 2): O: 15, (2, 0): O: 3, (2, 2): O: 8}
XXO_OOXX_; O; {(1, 0): O: 3, (2, 2): O: 21}
X_O_X____; O; {(1, 0): O: 2, (2, 1): O: 1, (2, 2): O: 139}
OX_OX_X__; O; {(0, 2): O: 2, (1, 2): O: 1, (2, 1): O: 2, (2, 2): O: 2}
X_X__O___; O; {(0, 1): O: 5, (2, 0): O: 1}
_XXXO_O__; O; {(0, 0): O: 21, (1, 2): O: 1, (2, 1): O: 3, (2, 2): O: 1}
OXXXO_OX_; O; {(1, 2): O: 8, (2, 2): O: 39}
X___OX___; O; {(0, 1): O: 9, (0, 2): O: 7, (1, 0): O: 3, (2, 0): O: 3, (2, 1): O: 2, (2, 2): O: 2}
X__XOX_O_; O; {(0, 1): O: 3, (0, 2): O: 2, (2, 0): O: 9, (2, 2): O: 3}
XOXO_O_XX; O; {(1, 1): O: 3, (2, 0): O: 1}
XOXX__O__; O; {(1, 1): O: 3, (1, 2): O: 3, (2, 1): O: 23, (2, 2): O: 36}
XOXX__OXO; O; {(1, 1): O: 25, (1, 2): O: 10}
XOO___XX_; O; {(1, 0): O: 1, (1, 2): O: 2, (2, 2): O: 2}
XOO_OXXX_; O; {(2, 2): O: 1}
XOX_O_X__; O; {(1, 0): O: 6, (1, 2): O: 9, (2, 1): O: 3, (2, 2): O: 3}
XOX_OOX_X; O; {(1, 0): O: 12}
OX______X; O; {(0, 2): O: 8, (1, 0): O: 2, (1, 1): O: 13, (1, 2): O: 2, (2, 0): O: 20, (2, 1): O: 6}
OX_X__O_X; O; {(0, 2): O: 2, (1, 1): O: 22, (1, 2): O: 6, (2, 1): O: 3}
X_XX_O_O_; O; {(0, 1): O: 3, (1, 1): O: 3, (2, 0): O: 2, (2, 2): O: 3}
X_XX_OOOX; O; {(1, 1): O: 2}
XOX_X_O__; O; {(2, 1): O: 12, (2, 2): O: 71}
XOX_XXOO_; O; {(2, 2): O: 24}
XO_____X_; O; {(0, 2): O: 1, (1, 0): O: 1, (1, 1): O: 3, (1, 2): O: 4, (2, 0): O: 6, (2, 2): O: 5}
XOX____XO; O; {(1, 0): O: 8, (1, 1): O: 6, (1, 2): O: 1, (2, 0): O: 23}
XOX_X_OXO; O; {(1, 0): O: 78}
_X_XO____; O; {(0, 0): O: 17, (0, 2): O: 5, (1, 2): O: 7, (2, 2): O: 5}
OXXXO____; O; {(1, 2): O: 26, (2, 0): O: 2, (2, 1): O: 11, (2, 2): O: 21}
OXXXO_XO_; O; {(1, 2): O: 7, (2, 2): O: 36}
_X____OX_; O; {(0, 0): O: 7, (0, 2): O: 2, (1, 0): O: 5, (1, 1): O: 11, (1, 2): O: 1}
X____OX__; O; {(0, 1): O: 3, (0, 2): O: 1, (1, 0): O: 8, (1, 1): O: 3}
X__OXOX__; O; {(0, 1): O: 1, (0, 2): O: 1}
OXX_XOO_X; O; {(1, 0): O: 24, (2, 1): O: 24}
X_O__OX_X; O; {(0, 1): O: 1, (1, 0): O: 2}
XO_X_____; O; {(0, 2): O: 2, (1, 1): O: 15, (1, 2): O: 1, (2, 0): O: 5, (2, 2): O: 4}
XX___OO_X; O; {(0, 2): O: 4, (1, 0): O: 2, (1, 1): O: 13, (2, 1): O: 1}
XXOXO____; O; {(1, 2): O: 6, (2, 0): O: 51, (2, 1): O: 2, (2, 2): O: 3}
XX_OOX_XO; O; {(0, 2): O: 7, (2, 0): O: 2}
XOXO__X__; O; {(1, 1): O: 6, (1, 2): O: 2, (2, 2): O: 2}
XX_O_OX__; O; {(0, 2): O: 6, (1, 1): O: 3, (2, 1): O: 3, (2, 2): O: 6}
XOX_O__X_; O; {(1, 0): O: 20, (2, 0): O: 4}
XOXOO__XX; O; {(1, 2): O: 12, (2, 0): O: 3}
XOXOOXX__; O; {(2, 1): O: 12, (2, 2): O: 4}
OX___X___; O; {(0, 2): O: 12, (1, 0): O: 3, (1, 1): O: 12, (2, 0): O: 22, (2, 1): O: 3, (2, 2): O: 6}
OXOX_X___; O; {(1, 1): O: 3, (2, 0): O: 6, (2, 1): O: 4}
OXOX_XOX_; O; {(1, 1): O: 15, (2, 2): O: 2}
XX_OOXOX_; O; {(0, 2): O: 12, (2, 2): O: 3}
_O__XX___; O; {(0, 2): O: 1, (1, 0): O: 4, (2, 0): O: 2, (2, 1): O: 1, (2, 2): O: 5}
XXOOOX_X_; O; {(2, 0): O: 15, (2, 2): O: 11}
_XXX_O_O_; O; {(0, 0): O: 3, (1, 1): O: 2, (2, 0): O: 3, (2, 2): O: 3}
XO_XX___O; O; {(0, 2): O: 1, (1, 2): O: 1, (2, 0): O: 5, (2, 1): O: 5}
XXOO__XXO; O; {(1, 1): O: 4, (1, 2): O: 18}
OXX__OX__; O; {(1, 0): O: 3, (1, 1): O: 9, (2, 1): O: 2, (2, 2): O: 1}
XO__XX_O_; O; {(0, 2): O: 3, (1, 0): O: 3, (2, 0): O: 3, (2, 2): O: 1}
XOX_XX_OO; O; {(1, 0): O: 1, (2, 0): O: 24}
XX____O__; O; {(0, 2): O: 31, (1, 0): O: 2, (1, 1): O: 1, (1, 2): O: 2, (2, 1): O: 2, (2, 2): O: 5}
XXO___O_X; O; {(1, 0): O: 6, (1, 1): O: 3, (1, 2): O: 3, (2, 1): O: 8}
XXO__XOOX; O; {(1, 0): O: 2, (1, 1): O: 9}
XX_OOX___; O; {(0, 2): O: 7, (2, 0): O: 1, (2, 1): O: 5, (2, 2): O: 2}
X_X_OX__O; O; {(0, 1): O: 25, (1, 0): O: 32, (2, 1): O: 4}
OX_XO___X; O; {(0, 2): O: 34, (1, 2): O: 15}
OX__X_O_X; O; {(0, 2): O: 3, (1, 0): O: 87, (2, 1): O: 3}
X_O_OX__X; O; {(0, 1): O: 3, (1, 0): O: 8, (2, 0): O: 12, (2, 1): O: 15}
XX__X_O_O; O; {(0, 2): O: 3, (1, 0): O: 6, (1, 2): O: 2, (2, 1): O: 30}
OX___XOX_; O; {(0, 2): O: 9, (1, 0): O: 9, (1, 1): O: 3}
XOXOX____; O; {(1, 2): O: 3, (2, 0): O: 2, (2, 1): O: 3, (2, 2): O: 3}
OX__X____; O; {(1, 2): O: 2, (2, 1): O: 14}
OXOXX____; O; {(1, 2): O: 4}
XX_OO___X; O; {(0, 2): O: 15, (1, 2): O: 9, (2, 0): O: 2}
X_OOOX_XX; O; {(0, 1): O: 1, (2, 0): O: 27}
XOXXO_O_X; O; {(1, 2): O: 6, (2, 1): O: 24}
OX_O_X__X; O; {(0, 2): O: 6, (1, 1): O: 2, (2, 0): O: 3, (2, 1): O: 3}
OX_X_XO__; O; {(0, 2): O: 2, (1, 1): O: 11, (2, 1): O: 2, (2, 2): O: 1}
OX_XOXO_X; O; {(0, 2): O: 15, (2, 1): O: 1}
XX_OO_OXX; O; {(0, 2): O: 18, (1, 2): O: 3}
OX___XXO_; O; {(0, 2): O: 3, (1, 0): O: 4, (1, 1): O: 8, (2, 2): O: 1}
OX_X_XXOO; O; {(0, 2): O: 1, (1, 1): O: 9}
XXO__O_X_; O; {(1, 0): O: 5, (1, 1): O: 6, (2, 0): O: 2, (2, 2): O: 9}
OOX_XX_XO; O; {(1, 0): O: 3, (2, 0): O: 3}
_XXXOO_OX; O; {(0, 0): O: 13}
OX_O__XX_; O; {(0, 2): O: 3, (1, 1): O: 11, (1, 2): O: 3, (2, 2): O: 1}
XX__XO__O; O; {(0, 2): O: 12, (1, 0): O: 1, (2, 0): O: 2, (2, 1): O: 5}
XX__XOXOO; O; {(0, 2): O: 21, (1, 0): O: 1}
OXOX__X__; O; {(1, 1): O: 3, (1, 2): O: 6, (2, 1): O: 2, (2, 2): O: 3}
OXOX_OXX_; O; {(1, 1): O: 2, (2, 2): O: 9}
OX____XXO; O; {(0, 2): O: 2, (1, 0): O: 1, (1, 1): O: 6, (1, 2): O: 9}
OXXO__XXO; O; {(1, 1): O: 24, (1, 2): O: 1}
XXOX____O; O; {(1, 1): O: 4, (1, 2): O: 6, (2, 0): O: 3, (2, 1): O: 6}
XXOXO__XO; O; {(1, 2): O: 6, (2, 0): O: 18}
XXOXOO_X_; O; {(2, 0): O: 3, (2, 2): O: 24}
X_X__O_XO; O; {(0, 1): O: 2, (1, 0): O: 2, (1, 1): O: 2, (2, 0): O: 2}
X_OO_X__X; O; {(0, 1): O: 2, (1, 1): O: 7, (2, 0): O: 2, (2, 1): O: 4}
XX__X_OO_; O; {(0, 2): O: 1, (1, 0): O: 3, (2, 2): O: 54}
XXOOX____; O; {(1, 2): O: 1, (2, 1): O: 2, (2, 2): O: 2}
XO_O_XX__; O; {(0, 2): O: 4, (1, 1): O: 3, (2, 1): O: 2, (2, 2): O: 3}
X_X_O_X_O; O; {(0, 1): O: 3, (1, 2): O: 3}
X_O__O_XX; O; {(0, 1): O: 3, (1, 0): O: 3, (1, 1): O: 12, (2, 0): O: 3}
_X_XO_O_X; O; {(0, 0): O: 9, (0, 2): O: 3, (1, 2): O: 5, (2, 1): O: 8}
XX_XO_OOX; O; {(0, 2): O: 24, (1, 2): O: 2}
X_O_OXXXO; O; {(1, 0): O: 29}
_X___XO__; O; {(0, 0): O: 9, (0, 2): O: 5, (1, 0): O: 1, (1, 1): O: 1}
_OX_X____; O; {(2, 0): O: 7}
XO__XO_X_; O; {(0, 2): O: 2, (1, 0): O: 2, (2, 0): O: 2, (2, 2): O: 3}
OX_X_X__O; O; {(0, 2): O: 3, (1, 1): O: 9, (2, 0): O: 5, (2, 1): O: 3}
XXO______; O; {(1, 0): O: 5, (1, 1): O: 11, (1, 2): O: 5, (2, 0): O: 3, (2, 1): O: 5, (2, 2): O: 6}
XXO_X__O_; O; {(1, 0): O: 3, (1, 2): O: 3, (2, 0): O: 2, (2, 2): O: 7}
OX_XOXOX_; O; {(0, 2): O: 9}
XXOX__OXO; O; {(1, 1): O: 3, (1, 2): O: 9}
XOO_XXXO_; O; {(1, 0): O: 2, (2, 2): O: 1}
XXO_X___O; O; {(1, 0): O: 1, (1, 2): O: 42, (2, 0): O: 2, (2, 1): O: 4}
XOOXX____; O; {(1, 2): O: 3, (2, 0): O: 2, (2, 1): O: 1, (2, 2): O: 3}
XOOXX__XO; O; {(1, 2): O: 30, (2, 0): O: 1}
X_OXX_O__; O; {(1, 2): O: 7, (2, 1): O: 2, (2, 2): O: 5}
X_O_XXOXO; O; {(0, 1): O: 2}
XXOX___O_; O; {(1, 1): O: 3, (2, 0): O: 3, (2, 2): O: 3}
