Overnight Menace 2: O
X_O_O_X_X; O; {(1, 0): O: 3}
X_X_OX__O; O; {(0, 1): O: 115174}
X_OXO__X_; O; {(0, 1): O: 1, (1, 2): O: 8, (2, 0): O: 51, (2, 2): O: 2}
XXO_O___X; O; {(1, 0): O: 27, (1, 2): O: 18, (2, 0): O: 6, (2, 1): O: 17}
XXOOOX__X; O; {(2, 0): O: 54, (2, 1): O: 6}
OXXO____X; O; {(1, 1): O: 14, (1, 2): O: 41, (2, 0): O: 3, (2, 1): O: 2}
OXXOXO__X; O; {(2, 0): O: 66}
XXO_X__O_; O; {(1, 0): O: 5, (2, 2): O: 217}
_X_X__O__; O; {(0, 0): O: 80, (0, 2): O: 3, (1, 1): O: 148, (1, 2): O: 81, (2, 1): O: 7, (2, 2): O: 791}
_X_X_XOO_; O; {(0, 0): O: 3, (0, 2): O: 3, (1, 1): O: 20, (2, 2): O: 6}
XX_XOXOO_; O; {(0, 2): O: 42, (2, 2): O: 12}
X_X__O___; O; {(0, 1): O: 3, (1, 0): O: 3, (1, 1): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 4}
XOX_XO_XO; O; {(2, 0): O: 6892}
XXO_XO___; O; {(1, 0): O: 1, (2, 0): O: 1, (2, 1): O: 3, (2, 2): O: 27}
XXOO_XOX_; O; {(1, 1): O: 36, (2, 2): O: 2}
XXO___X_O; O; {(1, 0): O: 7, (1, 1): O: 3, (1, 2): O: 102, (2, 1): O: 10}
XXO_OXX_O; O; {(1, 0): O: 58110}
_X__O_XXO; O; {(0, 0): O: 33, (0, 2): O: 3, (1, 0): O: 6, (1, 2): O: 12}
_XX_OOXXO; O; {(0, 0): O: 15, (1, 0): O: 66}
X_O_XX_O_; O; {(0, 1): O: 1, (1, 0): O: 3, (2, 0): O: 2, (2, 2): O: 2}
XOO_XXXO_; O; {(1, 0): O: 2, (2, 2): O: 1}
XX______O; O; {(0, 2): O: 223, (1, 1): O: 1, (2, 0): O: 8, (2, 1): O: 4}
XXO____XO; O; {(1, 0): O: 2, (1, 1): O: 35, (1, 2): O: 81, (2, 0): O: 2}
X_O_O__XX; O; {(1, 0): O: 6, (1, 2): O: 1, (2, 0): O: 117}
X___X___O; O; {(0, 1): O: 4, (0, 2): O: 15980}
XO_XX___O; O; {(0, 2): O: 3, (1, 2): O: 2, (2, 0): O: 2, (2, 1): O: 1}
X_O_XXO__; O; {(0, 1): O: 1, (1, 0): O: 2, (2, 1): O: 2, (2, 2): O: 1}
X_OOXXOX_; O; {(0, 1): O: 3, (2, 2): O: 2}
X_OOXX___; O; {(2, 1): O: 1, (2, 2): O: 69683}
X_OOXXXO_; O; {(2, 2): O: 558}
XXO_X___O; O; {(1, 0): O: 4, (1, 2): O: 33, (2, 0): O: 5, (2, 1): O: 92}
XOO_OXX_X; O; {(1, 0): O: 1, (2, 1): O: 75}
X_OXX___O; O; {(0, 1): O: 5, (1, 2): O: 30, (2, 0): O: 3, (2, 1): O: 1}
XOO_XX___; O; {(1, 0): O: 2, (2, 0): O: 2, (2, 1): O: 1, (2, 2): O: 2}
X_O_XOX__; O; {(0, 1): O: 3, (1, 0): O: 2, (2, 1): O: 3, (2, 2): O: 21}
OX_O___XX; O; {(0, 2): O: 3, (1, 1): O: 11, (1, 2): O: 6, (2, 0): O: 12}
OXXO_O_XX; O; {(1, 1): O: 9, (2, 0): O: 33}
X_O_XXXOO; O; {(1, 0): O: 103}
_X_O_XO_X; O; {(0, 0): O: 57, (0, 2): O: 2, (1, 1): O: 1, (2, 1): O: 5}
XXO__O__X; O; {(1, 0): O: 5, (1, 1): O: 99, (2, 0): O: 2}
XXO__OXOX; O; {(1, 0): O: 1, (1, 1): O: 2}
XX_OOXO_X; O; {(0, 2): O: 30, (2, 1): O: 3}
XX_O_____; O; {(0, 2): O: 1, (1, 1): O: 1, (1, 2): O: 2, (2, 0): O: 1, (2, 1): O: 3, (2, 2): O: 1}
XX_OO_X__; O; {(0, 2): O: 7, (1, 2): O: 72, (2, 1): O: 7, (2, 2): O: 6}
XX_OOXXO_; O; {(0, 2): O: 259463}
OX_X__O_X; O; {(1, 1): O: 33886, (1, 2): O: 6050}
OX_XOXO_X; O; {(0, 2): O: 117, (2, 1): O: 1}
_XXX__OO_; O; {(0, 0): O: 7, (1, 1): O: 2, (1, 2): O: 3, (2, 2): O: 12}
XXO__X__O; O; {(1, 0): O: 6, (1, 1): O: 3, (2, 0): O: 76, (2, 1): O: 7}
XXOOXX__O; O; {(2, 1): O: 23442}
X_O_X__XO; O; {(0, 1): O: 33, (1, 0): O: 1, (1, 2): O: 114}
XOO_X_XXO; O; {(1, 0): O: 32, (1, 2): O: 180}
X_OO__X_X; O; {(1, 1): O: 1}
_X_XOXO__; O; {(0, 0): O: 2, (0, 2): O: 33, (2, 1): O: 6, (2, 2): O: 27}
OXXXOXO__; O; {(2, 2): O: 132}
XXOO_O_XX; O; {(1, 1): O: 24, (2, 0): O: 2}
XXOX_O___; O; {(1, 1): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 21}
X_O__XOX_; O; {(0, 1): O: 4, (1, 1): O: 9, (2, 2): O: 5}
XXOXX_O_O; O; {(1, 2): O: 24}
XO__O__XX; O; {(2, 0): O: 323451}
X_OX_X__O; O; {(0, 1): O: 2, (1, 1): O: 3, (2, 0): O: 2, (2, 1): O: 2}
XX_O_XO__; O; {(2, 1): O: 2, (2, 2): O: 1}
XXOOXXO__; O; {(2, 1): O: 1, (2, 2): O: 1}
XXOOXX_O_; O; {(2, 2): O: 9852}
XXOO_X_XO; O; {(1, 1): O: 4068}
X_OO___XX; O; {(0, 1): O: 2, (1, 1): O: 2, (1, 2): O: 1}
_XOO__XX_; O; {(0, 0): O: 1, (1, 1): O: 2, (1, 2): O: 1, (2, 2): O: 1}
_X__O__X_; O; {(0, 0): O: 11, (1, 0): O: 15}
OX__O_XX_; O; {(1, 0): O: 2, (1, 2): O: 3, (2, 2): O: 120}
XOOXX____; O; {(1, 2): O: 3, (2, 0): O: 1, (2, 2): O: 1}
