MENACE: X
XXO_OXXOO; X; {(1, 0): X: 30}
XOXXOO___; X; {(2, 0): X: 6, (2, 1): X: 3, (2, 2): X: 3}
_XOO_X___; X; {(0, 0): X: 8, (1, 1): X: 3, (2, 0): X: 3, (2, 1): X: 2, (2, 2): X: 4}
XXOO_X_O_; X; {(1, 1): X: 6, (2, 0): X: 5, (2, 2): X: 3}
XXOOXXOO_; X; {(2, 2): X: 33}
X_X_O_O__; X; {(0, 1): X: 9, (1, 0): X: 33, (1, 2): X: 22, (2, 1): X: 10, (2, 2): X: 126}
X_X_OXOO_; X; {(0, 1): X: 15, (1, 0): X: 3, (2, 2): X: 9}
_O_OX__X_; X; {(0, 0): X: 10, (0, 2): X: 3, (1, 2): X: 3, (2, 0): X: 3, (2, 2): X: 3}
_OOOXX_X_; X; {(0, 0): X: 3, (2, 0): X: 2, (2, 2): X: 3}
XX__O_O__; X; {(0, 2): X: 30, (1, 0): X: 3, (1, 2): X: 8, (2, 1): X: 2, (2, 2): X: 2}
XX__OXO_O; X; {(0, 2): X: 9, (1, 0): X: 3, (2, 1): X: 6}
XX__O___O; X; {(0, 2): X: 12, (1, 0): X: 6, (1, 2): X: 6, (2, 0): X: 32, (2, 1): X: 10}
XX__O_OXO; X; {(0, 2): X: 18, (1, 0): X: 2, (1, 2): X: 2}
XX_XOOOXO; X; {(0, 2): X: 18}
OX__O_X__; X; {(0, 2): X: 2, (1, 0): X: 3, (1, 2): X: 5, (2, 1): X: 7, (2, 2): X: 13}
OX_OO_XX_; X; {(1, 2): X: 2, (2, 2): X: 9}
_X____O__; X; {(0, 0): X: 6, (0, 2): X: 1, (1, 0): X: 12, (1, 1): X: 10, (1, 2): X: 31, (2, 1): X: 34, (2, 2): X: 24}
_XXO__O__; X; {(0, 0): X: 3, (1, 1): X: 6, (1, 2): X: 2, (2, 1): X: 3, (2, 2): X: 8}
_XXO___O_; X; {(0, 0): X: 6, (1, 1): X: 3, (1, 2): X: 3, (2, 0): X: 3, (2, 2): X: 6}
X__X_OO__; X; {(0, 1): X: 6, (0, 2): X: 2, (1, 1): X: 6, (2, 1): X: 2, (2, 2): X: 4}
X_OX_OOX_; X; {(0, 1): X: 2, (1, 1): X: 3, (2, 2): X: 5}
X_O____XO; X; {(1, 1): X: 3, (1, 2): X: 26, (2, 0): X: 6}
XXO___OXO; X; {(1, 0): X: 2, (1, 1): X: 6}
XO___O__X; X; {(0, 2): X: 3, (1, 0): X: 3, (1, 1): X: 3, (2, 0): X: 9}
XOO__OX_X; X; {(1, 0): X: 9, (1, 1): X: 9}
X____O_XO; X; {(0, 1): X: 3, (0, 2): X: 3, (1, 0): X: 6, (1, 1): X: 2, (2, 0): X: 3}
XO_OXO_X_; X; {(0, 2): X: 3, (2, 0): X: 12, (2, 2): X: 3}
XOOOXOXX_; X; {(2, 2): X: 36}
OO__XX___; X; {(0, 2): X: 18, (1, 0): X: 33, (2, 0): X: 6, (2, 1): X: 10, (2, 2): X: 2}
OO__XXOX_; X; {(0, 2): X: 3, (1, 0): X: 9, (2, 2): X: 3}
OX___OX__; X; {(0, 2): X: 6, (1, 0): X: 3, (1, 1): X: 3, (2, 1): X: 3, (2, 2): X: 7}
OXO__OX_X; X; {(1, 0): X: 3, (1, 1): X: 8, (2, 1): X: 9}
OXOOXOX_X; X; {(2, 1): X: 18}
OX_O___X_; X; {(0, 2): X: 3, (1, 1): X: 9, (1, 2): X: 3, (2, 0): X: 2, (2, 2): X: 3}
X___OO__X; X; {(0, 1): X: 3, (0, 2): X: 2, (1, 0): X: 2, (2, 0): X: 2, (2, 1): X: 3}
_XXO_O___; X; {(0, 0): X: 6, (1, 1): X: 9, (2, 0): X: 9, (2, 1): X: 3, (2, 2): X: 3}
