Overnight Menace 1: X
XXOO__XO_; X; {(1, 1): X: 6345, (1, 2): X: 5492, (2, 2): X: 10902}
XOO_X____; X; {(1, 0): X: 9, (1, 2): X: 3, (2, 0): X: 6, (2, 1): X: 6, (2, 2): X: 12}
XOO_X_XO_; X; {(1, 0): X: 9, (1, 2): X: 15, (2, 2): X: 30}
X_O_O__X_; X; {(1, 0): X: 1, (1, 2): X: 1, (2, 0): X: 609, (2, 2): X: 1}
X_OOO_XX_; X; {(0, 1): X: 1, (1, 2): X: 35, (2, 2): X: 255}
OX___OX__; X; {(0, 2): X: 9, (1, 0): X: 6, (1, 1): X: 12, (2, 1): X: 9, (2, 2): X: 5}
OX___OXOX; X; {(0, 2): X: 243, (1, 0): X: 1083, (1, 1): X: 216}
OX____OX_; X; {(0, 2): X: 3, (1, 0): X: 3, (1, 1): X: 18, (1, 2): X: 3}
OXO__XOX_; X; {(1, 0): X: 1, (1, 1): X: 39, (2, 2): X: 1}
XOO_XXOXO; X; {(1, 0): X: 195}
X_OO_X_OX; X; {(0, 1): X: 48, (1, 1): X: 138, (2, 0): X: 12}
XXOO_XOOX; X; {(1, 1): X: 45}
XOO____X_; X; {(1, 0): X: 3, (1, 1): X: 5, (1, 2): X: 7, (2, 0): X: 39, (2, 2): X: 12}
X_O_O___X; X; {(0, 1): X: 1, (2, 0): X: 389}
XOO_O_X_X; X; {(1, 0): X: 174, (1, 2): X: 3, (2, 1): X: 156}
X___OX__O; X; {(0, 1): X: 13649, (0, 2): X: 7580, (1, 0): X: 1, (2, 0): X: 8026, (2, 1): X: 1351}
XOOXO__X_; X; {(1, 2): X: 1, (2, 0): X: 81}
XXOOO___X; X; {(1, 2): X: 3, (2, 0): X: 2, (2, 1): X: 3}
OX_O____X; X; {(2, 0): X: 307, (2, 1): X: 2}
OXXO_O__X; X; {(1, 1): X: 1, (2, 0): X: 1, (2, 1): X: 1}
OXXOXO_OX; X; {(2, 0): X: 36}
X_O_X__O_; X; {(0, 1): X: 3, (1, 0): X: 30, (1, 2): X: 3, (2, 0): X: 15, (2, 2): X: 9}
XXO_XO_O_; X; {(1, 0): X: 2, (2, 0): X: 3, (2, 2): X: 27}
_X_X__OO_; X; {(0, 0): X: 1, (0, 2): X: 19, (1, 1): X: 5, (1, 2): X: 1, (2, 2): X: 110}
_X_XOXOO_; X; {(0, 0): X: 1, (0, 2): X: 1, (2, 2): X: 2}
XOX_XO__O; X; {(1, 0): X: 8, (2, 0): X: 129, (2, 1): X: 36}
XOX_XOOXO; X; {(1, 0): X: 26966}
X___OOX__; X; {(0, 1): X: 9, (0, 2): X: 3, (1, 0): X: 12}
X_O_XO___; X; {(0, 1): X: 6, (1, 0): X: 11, (2, 0): X: 5, (2, 1): X: 6, (2, 2): X: 3}
XXOOXO___; X; {(2, 0): X: 4, (2, 1): X: 276, (2, 2): X: 33}
XXOO__OX_; X; {(1, 1): X: 324, (2, 2): X: 1}
XO___X__O; X; {(0, 2): X: 13, (1, 0): X: 229, (1, 1): X: 29, (2, 0): X: 24, (2, 1): X: 15}
XOX_OX__O; X; {(2, 1): X: 115170}
XXO_____O; X; {(1, 0): X: 1, (1, 1): X: 1, (2, 0): X: 1}
XXO_O_X_O; X; {(1, 0): X: 177, (1, 2): X: 10, (2, 1): X: 8}
