Gabe: O
_____O___________X_________________O______X___O_X; X; {(0, 0): X: 3, (0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (0, 4): X: 3, (0, 6): X: 3, (1, 0): X: 3, (1, 1): X: 3, (1, 2): X: 3, (1, 3): X: 3, (1, 4): X: 3, (1, 5): X: 3, (1, 6): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (2, 6): X: 3, (3, 0): X: 4, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (3, 4): X: 3, (3, 5): X: 3, (3, 6): X: 3, (4, 0): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (4, 5): X: 3, (4, 6): X: 3, (5, 1): X: 3, (5, 2): X: 3, (5, 3): X: 3, (5, 4): X: 3, (5, 5): X: 3, (5, 6): X: 3, (6, 1): X: 3, (6, 2): X: 3, (6, 3): X: 3, (6, 5): X: 3}
_____O___________X___X___O_________O______X___O_X; X; {(0, 0): X: 3, (0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (0, 4): X: 3, (0, 6): X: 3, (1, 0): X: 3, (1, 1): X: 3, (1, 2): X: 4, (1, 3): X: 3, (1, 4): X: 3, (1, 5): X: 3, (1, 6): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (2, 6): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (3, 5): X: 3, (3, 6): X: 3, (4, 0): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (4, 5): X: 3, (4, 6): X: 3, (5, 1): X: 3, (5, 2): X: 3, (5, 3): X: 3, (5, 4): X: 3, (5, 5): X: 3, (5, 6): X: 3, (6, 1): X: 3, (6, 2): X: 3, (6, 3): X: 3, (6, 5): X: 3}
_____O___X_______X___X___O_____O___O______X___O_X; X; {(0, 0): X: 3, (0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (0, 4): X: 3, (0, 6): X: 3, (1, 0): X: 3, (1, 1): X: 3, (1, 3): X: 3, (1, 4): X: 3, (1, 5): X: 3, (1, 6): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (2, 6): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (3, 5): X: 3, (3, 6): X: 3, (4, 0): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 4): X: 3, (4, 5): X: 3, (4, 6): X: 3, (5, 1): X: 3, (5, 2): X: 3, (5, 3): X: 3, (5, 4): X: 4, (5, 5): X: 3, (5, 6): X: 3, (6, 1): X: 3, (6, 2): X: 3, (6, 3): X: 3, (6, 5): X: 3}
_____O___X_______X___X___O___O_O___O___X__X___O_X; X; {(0, 0): X: 3, (0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (0, 4): X: 3, (0, 6): X: 3, (1, 0): X: 3, (1, 1): X: 3, (1, 3): X: 3, (1, 4): X: 4, (1, 5): X: 3, (1, 6): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (2, 6): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (3, 5): X: 3, (3, 6): X: 3, (4, 0): X: 3, (4, 2): X: 3, (4, 4): X: 3, (4, 5): X: 3, (4, 6): X: 3, (5, 1): X: 3, (5, 2): X: 3, (5, 3): X: 3, (5, 5): X: 3, (5, 6): X: 3, (6, 1): X: 3, (6, 2): X: 3, (6, 3): X: 3, (6, 5): X: 3}
_____O___X_X_____X___X___O___O_O___OO__X__X___O_X; X; {(0, 0): X: 3, (0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (0, 4): X: 3, (0, 6): X: 3, (1, 0): X: 3, (1, 1): X: 3, (1, 3): X: 3, (1, 5): X: 3, (1, 6): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (2, 6): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (3, 5): X: 4, (3, 6): X: 3, (4, 0): X: 3, (4, 2): X: 3, (4, 4): X: 3, (4, 5): X: 3, (4, 6): X: 3, (5, 2): X: 3, (5, 3): X: 3, (5, 5): X: 3, (5, 6): X: 3, (6, 1): X: 3, (6, 2): X: 3, (6, 3): X: 3, (6, 5): X: 3}
_____O___X_X___O_X___X___OX__O_O___OO__X__X___O_X; X; {(0, 0): X: 3, (0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (0, 4): X: 3, (0, 6): X: 3, (1, 0): X: 3, (1, 1): X: 3, (1, 3): X: 3, (1, 5): X: 3, (1, 6): X: 3, (2, 0): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (2, 6): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (3, 6): X: 4, (4, 0): X: 3, (4, 2): X: 3, (4, 4): X: 3, (4, 5): X: 3, (4, 6): X: 3, (5, 2): X: 3, (5, 3): X: 3, (5, 5): X: 3, (5, 6): X: 3, (6, 1): X: 3, (6, 2): X: 3, (6, 3): X: 3, (6, 5): X: 3}
_____O___X_X___O_X___X___OXX_O_OO__OO__X__X___O_X; X; {(0, 0): X: 4, (0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (0, 4): X: 3, (0, 6): X: 3, (1, 0): X: 3, (1, 1): X: 3, (1, 3): X: 3, (1, 5): X: 3, (1, 6): X: 3, (2, 0): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (2, 6): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (4, 0): X: 3, (4, 2): X: 3, (4, 5): X: 3, (4, 6): X: 3, (5, 2): X: 3, (5, 3): X: 3, (5, 5): X: 3, (5, 6): X: 3, (6, 1): X: 3, (6, 2): X: 3, (6, 3): X: 3, (6, 5): X: 3}
X____O___X_X___O_X___XO__OXX_O_OO__OO__X__X___O_X; X; {(0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (0, 4): X: 3, (0, 6): X: 3, (1, 0): X: 3, (1, 1): X: 3, (1, 3): X: 3, (1, 5): X: 3, (1, 6): X: 3, (2, 0): X: 3, (2, 2): X: 3, (2, 4): X: 4, (2, 5): X: 3, (2, 6): X: 3, (3, 2): X: 3, (3, 3): X: 3, (4, 0): X: 3, (4, 2): X: 3, (4, 5): X: 3, (4, 6): X: 3, (5, 2): X: 3, (5, 3): X: 3, (5, 5): X: 3, (5, 6): X: 3, (6, 1): X: 3, (6, 2): X: 3, (6, 3): X: 3, (6, 5): X: 3}
X____O___X_X___O_XX_OXO__OXX_O_OO__OO__X__X___O_X; X; {(0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (0, 4): X: 3, (0, 6): X: 3, (1, 0): X: 3, (1, 1): X: 3, (1, 3): X: 4, (1, 5): X: 3, (1, 6): X: 3, (2, 0): X: 3, (2, 2): X: 3, (2, 5): X: 3, (3, 2): X: 3, (3, 3): X: 3, (4, 0): X: 3, (4, 2): X: 3, (4, 5): X: 3, (4, 6): X: 3, (5, 2): X: 3, (5, 3): X: 3, (5, 5): X: 3, (5, 6): X: 3, (6, 1): X: 3, (6, 2): X: 3, (6, 3): X: 3, (6, 5): X: 3}
X____O___XXX___OOXX_OXO__OXX_O_OO__OO__X__X___O_X; X; {(0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (0, 4): X: 3, (0, 6): X: 3, (1, 0): X: 3, (1, 1): X: 3, (1, 5): X: 3, (1, 6): X: 3, (2, 0): X: 3, (2, 5): X: 3, (3, 2): X: 3, (3, 3): X: 3, (4, 0): X: 3, (4, 2): X: 3, (4, 5): X: 3, (4, 6): X: 3, (5, 2): X: 3, (5, 3): X: 3, (5, 5): X: 3, (5, 6): X: 3, (6, 1): X: 3, (6, 2): X: 4, (6, 3): X: 3, (6, 5): X: 3}
