Menace A: X
_XOX_OXO_; X; {(1, 1): X: 6, (2, 2): X: 2, (3, 3): X: 4}
OXOXXOXO_; X; {(3, 3): X: 9}
XO__X__O_; X; {(1, 3): X: 3, (2, 1): X: 12, (2, 3): X: 6, (3, 1): X: 3, (3, 3): X: 3}
XO_XX__OO; X; {(1, 3): X: 6, (2, 3): X: 3, (3, 1): X: 6}
_XO___XO_; X; {(1, 1): X: 3, (2, 1): X: 3, (2, 2): X: 5, (2, 3): X: 5, (3, 3): X: 4}
_XOO__XOX; X; {(1, 1): X: 4, (2, 2): X: 3, (2, 3): X: 4}
OXOO_XXOX; X; {(2, 2): X: 5}
_O__X_OX_; X; {(1, 1): X: 9, (1, 3): X: 3, (2, 1): X: 3, (2, 3): X: 2, (3, 3): X: 1}
_OO_X_OXX; X; {(1, 1): X: 3, (2, 1): X: 2, (2, 3): X: 2}
_XXO__O__; X; {(1, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (3, 2): X: 6, (3, 3): X: 5}
_XXO_OO_X; X; {(1, 1): X: 3, (2, 2): X: 2, (3, 2): X: 3}
OX_O___X_; X; {(1, 3): X: 3, (2, 2): X: 6, (2, 3): X: 3, (3, 1): X: 3, (3, 3): X: 2}
XO__OX___; X; {(1, 3): X: 7, (2, 1): X: 3, (3, 1): X: 6, (3, 2): X: 18, (3, 3): X: 1}
XOO_OXX__; X; {(2, 1): X: 3, (3, 2): X: 12, (3, 3): X: 2}
_X_O_XO__; X; {(1, 1): X: 5, (1, 3): X: 3, (2, 2): X: 2, (3, 2): X: 1, (3, 3): X: 2}
XXO_OX_O_; X; {(2, 1): X: 2, (3, 1): X: 3, (3, 3): X: 2}
X_O__OX__; X; {(1, 2): X: 3, (2, 1): X: 3, (2, 2): X: 3, (3, 2): X: 6, (3, 3): X: 3}
XOO__OXX_; X; {(2, 1): X: 9, (2, 2): X: 3, (3, 3): X: 3}
XXOXO__O_; X; {(2, 3): X: 4, (3, 1): X: 6, (3, 3): X: 3}
XXOXOX_OO; X; {(3, 1): X: 15}
_XXO____O; X; {(1, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (3, 1): X: 6, (3, 2): X: 3}
_XXO_OX_O; X; {(1, 1): X: 3, (2, 2): X: 9, (3, 2): X: 3}
XOX_OXO__; X; {(2, 1): X: 2, (3, 2): X: 7, (3, 3): X: 12}
XO___X__O; X; {(1, 3): X: 8, (2, 1): X: 3, (2, 2): X: 3, (3, 1): X: 3, (3, 2): X: 8}
