Menace 2: O
___O_XXXO; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 4, (2, 2): O: 3}
OXXX_OOX_; O; {(2, 2): O: 4, (3, 3): O: 3}
__X_O___X; O; {(1, 1): O: 3, (1, 2): O: 9, (2, 1): O: 3, (2, 3): O: 3, (3, 2): O: 6}
_OXXO___X; O; {(1, 1): O: 6, (2, 3): O: 6, (3, 1): O: 3, (3, 2): O: 3}
XOXXOO__X; O; {(3, 1): O: 3, (3, 2): O: 12}
__X_O_XOX; O; {(1, 1): O: 3, (1, 2): O: 12, (2, 1): O: 3, (2, 3): O: 3}
__O__X__X; O; {(1, 1): O: 6, (1, 2): O: 3, (2, 1): O: 3, (2, 2): O: 3, (3, 1): O: 3, (3, 2): O: 3}
X__X_XO_O; O; {(1, 2): O: 6, (1, 3): O: 3, (2, 2): O: 6, (3, 2): O: 3}
O_OX_XXOX; O; {(1, 2): O: 6, (2, 2): O: 3}
O__OXX__X; O; {(1, 2): O: 3, (1, 3): O: 3, (3, 1): O: 12, (3, 2): O: 5}
____OX__X; O; {(1, 1): O: 3, (1, 2): O: 7, (1, 3): O: 15, (2, 1): O: 4, (3, 1): O: 9, (3, 2): O: 1}
XX_XO__O_; O; {(1, 3): O: 3, (2, 3): O: 2, (3, 1): O: 3, (3, 3): O: 2}
OOXOX__XX; O; {(2, 3): O: 1, (3, 1): O: 9}
O_XXX__O_; O; {(1, 2): O: 3, (2, 3): O: 3, (3, 1): O: 3, (3, 3): O: 3}
OO_XX__X_; O; {(1, 3): O: 9, (2, 3): O: 3, (3, 1): O: 5, (3, 3): O: 2}
XXO_XX_OO; O; {(2, 1): O: 5, (3, 1): O: 15}
XOXO__XXO; O; {(2, 2): O: 4, (2, 3): O: 2}
X____X__O; O; {(1, 2): O: 4, (1, 3): O: 2, (2, 1): O: 4, (2, 2): O: 1, (3, 1): O: 6, (3, 2): O: 2}
O_XXO___X; O; {(1, 2): O: 2, (2, 3): O: 3, (3, 1): O: 3, (3, 2): O: 3}
XX__OXXOO; O; {(1, 3): O: 2, (2, 1): O: 1}
X___XO_XO; O; {(1, 2): O: 8, (1, 3): O: 18, (2, 1): O: 3, (3, 1): O: 3}
XO_XXO_XO; O; {(1, 3): O: 15, (3, 1): O: 3}
_X__X___O; O; {(1, 1): O: 2, (1, 3): O: 3, (2, 1): O: 6, (2, 3): O: 11, (3, 1): O: 2, (3, 2): O: 8}
OO__X_XX_; O; {(1, 3): O: 3, (2, 1): O: 3, (2, 3): O: 3, (3, 3): O: 6}
_X__O___X; O; {(1, 1): O: 3, (1, 3): O: 3, (2, 1): O: 6, (2, 3): O: 3, (3, 1): O: 3, (3, 2): O: 4}
_X_OO_X_X; O; {(1, 1): O: 3, (1, 3): O: 3, (2, 3): O: 6, (3, 2): O: 3}
O_O_X_X_X; O; {(1, 2): O: 9, (2, 1): O: 3, (3, 2): O: 4}
OXO_X_XOX; O; {(2, 1): O: 10, (2, 3): O: 7}
XO______X; O; {(1, 3): O: 3, (2, 1): O: 3, (2, 2): O: 9, (2, 3): O: 2, (3, 1): O: 6, (3, 2): O: 3}
XX__O__OX; O; {(1, 3): O: 4, (2, 1): O: 2, (2, 3): O: 5, (3, 1): O: 2}
