Menace B: O
____X____; O; {(1, 1): O: 51}
XOO_X_X__; O; {(2, 1): O: 3, (2, 3): O: 2, (3, 2): O: 1, (3, 3): O: 4}
O_XOXX___; O; {(1, 2): O: 2, (3, 1): O: 6, (3, 2): O: 3, (3, 3): O: 3}
_XXO_X_O_; O; {(1, 1): O: 3, (2, 2): O: 2, (3, 1): O: 3}
_XOOXX___; O; {(1, 1): O: 4, (3, 1): O: 5, (3, 2): O: 6, (3, 3): O: 5}
OXXO_X___; O; {(2, 2): O: 6, (3, 1): O: 6, (3, 2): O: 3, (3, 3): O: 3}
OX_O__X_X; O; {(1, 3): O: 6, (2, 2): O: 3, (2, 3): O: 2, (3, 2): O: 3}
OX_X___XO; O; {(1, 3): O: 3, (2, 2): O: 3, (2, 3): O: 3, (3, 1): O: 2}
_XX__OXO_; O; {(1, 1): O: 4, (2, 1): O: 1, (2, 2): O: 5, (3, 3): O: 2}
XO_XXO___; O; {(1, 3): O: 2, (3, 1): O: 3, (3, 2): O: 1, (3, 3): O: 5}
XO__X_OX_; O; {(1, 3): O: 1, (2, 1): O: 2, (2, 3): O: 1, (3, 3): O: 10}
X_O_OX__X; O; {(1, 2): O: 3, (2, 1): O: 7, (3, 1): O: 9, (3, 2): O: 9}
O_O_X_X_X; O; {(1, 2): O: 3, (2, 1): O: 2, (3, 2): O: 3}
XOO_X__X_; O; {(2, 1): O: 4, (2, 3): O: 3, (3, 1): O: 2, (3, 3): O: 4}
_X_O_XOX_; O; {(1, 1): O: 3, (1, 3): O: 2, (2, 2): O: 9, (3, 3): O: 3}
_X_OX_XO_; O; {(1, 1): O: 3, (1, 3): O: 4, (2, 3): O: 1, (3, 3): O: 3}
OX_XX_O__; O; {(1, 3): O: 3, (2, 3): O: 2, (3, 2): O: 5, (3, 3): O: 2}
XO_XO___X; O; {(1, 3): O: 3, (2, 3): O: 2, (3, 1): O: 15, (3, 2): O: 12}
_XOO_XX__; O; {(1, 1): O: 3, (2, 2): O: 6, (3, 2): O: 4, (3, 3): O: 4}
XOO___X_X; O; {(2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (3, 2): O: 2}
XX_XOO___; O; {(1, 3): O: 11, (3, 1): O: 6, (3, 2): O: 2, (3, 3): O: 3}
XX__O__OX; O; {(1, 3): O: 15, (2, 1): O: 2, (2, 3): O: 1, (3, 1): O: 2}
XX____XOO; O; {(1, 3): O: 3, (2, 1): O: 4, (2, 2): O: 3, (2, 3): O: 2}
X___OXO_X; O; {(1, 2): O: 3, (1, 3): O: 9, (2, 1): O: 3, (3, 2): O: 3}
XOX_O___X; O; {(2, 1): O: 5, (2, 3): O: 27, (3, 1): O: 4, (3, 2): O: 6}
X_XXO__O_; O; {(1, 2): O: 27, (2, 3): O: 1, (3, 1): O: 5, (3, 3): O: 1}
X__XOXO__; O; {(1, 2): O: 3, (1, 3): O: 3, (3, 2): O: 9, (3, 3): O: 13}
XXOO_X___; O; {(2, 2): O: 4, (3, 1): O: 3, (3, 2): O: 4, (3, 3): O: 4}
XX_OX_O__; O; {(1, 3): O: 3, (2, 3): O: 1, (3, 2): O: 2, (3, 3): O: 7}
_XXXO___O; O; {(1, 1): O: 3, (2, 3): O: 3, (3, 1): O: 6, (3, 2): O: 2}
OXX__XO__; O; {(2, 1): O: 3, (2, 2): O: 3, (3, 2): O: 6, (3, 3): O: 3}
XO_X___XO; O; {(1, 3): O: 2, (2, 2): O: 2, (2, 3): O: 2, (3, 1): O: 2}
XOX_O__X_; O; {(2, 1): O: 32, (3, 1): O: 14}
X_O_O_X_X; O; {(1, 2): O: 2, (2, 1): O: 4}
XX__O_XO_; O; {(1, 3): O: 2, (2, 1): O: 8}
XX_OO__X_; O; {(1, 3): O: 17, (2, 3): O: 3, (3, 1): O: 2, (3, 3): O: 3}
OXXO__X__; O; {(2, 2): O: 18, (2, 3): O: 3, (3, 2): O: 2, (3, 3): O: 6}
OX_OX_X__; O; {(1, 3): O: 2, (2, 3): O: 3, (3, 2): O: 2}
_OO_X_XX_; O; {(1, 1): O: 9, (2, 1): O: 4, (2, 3): O: 2, (3, 3): O: 13}
OXX_O___X; O; {(2, 1): O: 6, (2, 3): O: 8, (3, 1): O: 2, (3, 2): O: 4}
_X_O_OX_X; O; {(1, 1): O: 3, (2, 2): O: 6, (3, 2): O: 3}
XX__O_OX_; O; {(1, 3): O: 3, (2, 1): O: 2, (2, 3): O: 2, (3, 3): O: 2}
XO_OX_X__; O; {(1, 3): O: 3, (2, 3): O: 2, (3, 2): O: 3, (3, 3): O: 2}
OX_OXX___; O; {(1, 3): O: 2, (3, 1): O: 6, (3, 2): O: 6, (3, 3): O: 5}
OXXO____X; O; {(2, 2): O: 3, (2, 3): O: 10, (3, 1): O: 3, (3, 2): O: 6}
_OOXX___X; O; {(1, 1): O: 3, (2, 3): O: 3, (3, 1): O: 3, (3, 2): O: 2}
X_O_OXX__; O; {(1, 2): O: 3, (2, 1): O: 4, (3, 2): O: 3, (3, 3): O: 2}
X_X_O_XO_; O; {(1, 2): O: 12, (2, 1): O: 5, (2, 3): O: 3, (3, 3): O: 3}
XO_O__X_X; O; {(1, 3): O: 3, (2, 2): O: 2, (2, 3): O: 3, (3, 2): O: 6}
_O_XX_X_O; O; {(1, 1): O: 3, (1, 3): O: 2, (2, 3): O: 1, (3, 2): O: 3}
XOX__O_X_; O; {(2, 1): O: 3, (2, 2): O: 7, (3, 1): O: 4, (3, 3): O: 4}
_X_O__OXX; O; {(1, 1): O: 3, (1, 3): O: 3, (2, 2): O: 3, (2, 3): O: 11}
XXOO____X; O; {(2, 2): O: 4, (2, 3): O: 5, (3, 1): O: 3, (3, 2): O: 2}
X__OXOX__; O; {(1, 2): O: 2, (1, 3): O: 3}
_XOO_X__X; O; {(1, 1): O: 3, (2, 2): O: 3, (3, 1): O: 3, (3, 2): O: 5}
_XO_X_XO_; O; {(1, 1): O: 6, (2, 1): O: 3, (2, 3): O: 4, (3, 3): O: 4}
_X_O_X_XO; O; {(1, 1): O: 3, (1, 3): O: 3, (2, 2): O: 6, (3, 1): O: 3}
XO__XOX__; O; {(1, 3): O: 3, (2, 1): O: 3, (3, 2): O: 2, (3, 3): O: 3}
X_X_XOO__; O; {(1, 2): O: 2, (2, 1): O: 3, (3, 2): O: 6, (3, 3): O: 3}
OX__OXX__; O; {(1, 3): O: 6, (2, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3}
O_X_XO__X; O; {(1, 2): O: 3, (2, 1): O: 3, (3, 1): O: 7, (3, 2): O: 3}
OX__XX__O; O; {(1, 3): O: 2, (2, 1): O: 6, (3, 1): O: 3}
XX_OOX___; O; {(1, 3): O: 15, (3, 1): O: 2, (3, 2): O: 2, (3, 3): O: 4}
_X_OXX__O; O; {(1, 1): O: 3, (1, 3): O: 3, (3, 1): O: 3, (3, 2): O: 5}
OXXOX____; O; {(2, 3): O: 2, (3, 1): O: 6, (3, 2): O: 5, (3, 3): O: 6}
XX_O__O_X; O; {(1, 3): O: 5, (2, 2): O: 3, (2, 3): O: 2, (3, 2): O: 1}
X___XOX_O; O; {(1, 3): O: 21, (2, 1): O: 1, (3, 2): O: 2}
_X_OOX_X_; O; {(1, 1): O: 11, (1, 3): O: 3}
XXOO___X_; O; {(2, 2): O: 4, (2, 3): O: 3, (3, 1): O: 5, (3, 3): O: 3}
XX_OX___O; O; {(1, 3): O: 3, (2, 3): O: 2, (3, 1): O: 3, (3, 2): O: 4}
XOX__X__O; O; {(2, 1): O: 2, (2, 2): O: 3, (3, 1): O: 5, (3, 2): O: 6}
_XXO__X_O; O; {(1, 1): O: 3, (2, 2): O: 2, (2, 3): O: 2, (3, 2): O: 3}
XXOXO____; O; {(2, 3): O: 6, (3, 1): O: 45, (3, 2): O: 3, (3, 3): O: 8}
XX__OX_O_; O; {(1, 3): O: 9, (2, 1): O: 3, (3, 1): O: 6, (3, 3): O: 6}
_X_O_XO_X; O; {(1, 1): O: 6, (1, 3): O: 2, (2, 2): O: 3, (3, 2): O: 3}
XO__OXX__; O; {(1, 3): O: 5, (2, 1): O: 6, (3, 2): O: 15, (3, 3): O: 1}
OX_O___XX; O; {(1, 3): O: 3, (2, 2): O: 2, (2, 3): O: 3, (3, 1): O: 12}
_XXO__O_X; O; {(1, 1): O: 3, (2, 2): O: 2, (2, 3): O: 6, (3, 2): O: 1}
_O__X_OXX; O; {(1, 1): O: 3, (1, 3): O: 12, (2, 1): O: 3, (2, 3): O: 3}
_XO___XOX; O; {(1, 1): O: 5, (2, 1): O: 5, (2, 2): O: 3, (2, 3): O: 2}
XO_XX__O_; O; {(1, 3): O: 2, (2, 3): O: 3, (3, 1): O: 5, (3, 3): O: 2}
_X_X_OXO_; O; {(1, 1): O: 3, (1, 3): O: 12, (2, 2): O: 2, (3, 3): O: 3}
X__XOX__O; O; {(1, 2): O: 3, (1, 3): O: 3, (3, 1): O: 3, (3, 2): O: 2}
XOO____XX; O; {(2, 1): O: 3, (2, 2): O: 9, (2, 3): O: 3, (3, 1): O: 2}
_X_OO__XX; O; {(1, 1): O: 4, (1, 3): O: 3, (2, 3): O: 6, (3, 1): O: 15}
X_O___XOX; O; {(1, 2): O: 3, (2, 1): O: 2, (2, 2): O: 3, (2, 3): O: 3}
XOXX____O; O; {(2, 2): O: 4, (2, 3): O: 2, (3, 1): O: 4, (3, 2): O: 2}
X_X_OXO__; O; {(1, 2): O: 3, (2, 1): O: 2, (3, 2): O: 3, (3, 3): O: 5}
O_O_XX__X; O; {(1, 2): O: 3, (2, 1): O: 7, (3, 1): O: 2, (3, 2): O: 6}
XX_O_XO__; O; {(1, 3): O: 3, (2, 2): O: 9, (3, 2): O: 2, (3, 3): O: 3}
OO__XX_X_; O; {(1, 3): O: 15, (2, 1): O: 3, (3, 1): O: 2, (3, 3): O: 1}
XXO_OX___; O; {(2, 1): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 11}
XX_OO_X__; O; {(1, 3): O: 14, (2, 3): O: 24, (3, 2): O: 1, (3, 3): O: 1}
OX_X__OX_; O; {(1, 3): O: 2, (2, 2): O: 3, (2, 3): O: 3}
XO__OX__X; O; {(1, 3): O: 9, (2, 1): O: 3, (3, 1): O: 2, (3, 2): O: 21}
