5x5 Menace 1: X
_________________________; X; {(1, 1): X: 8, (1, 2): X: 9, (1, 3): X: 8, (2, 2): X: 24, (2, 3): X: 9, (3, 3): X: 4}
______X_______O__________; X; {(1, 1): X: 3, (1, 2): X: 3, (1, 3): X: 3, (1, 4): X: 3, (1, 5): X: 3, (2, 1): X: 3, (2, 3): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (3, 4): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 2): X: 6, (5, 3): X: 3, (5, 4): X: 3, (5, 5): X: 3}
_____OX_______O______X___; X; {(1, 1): X: 3, (1, 2): X: 3, (1, 3): X: 3, (1, 4): X: 3, (1, 5): X: 3, (2, 3): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 6, (3, 4): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 3): X: 3, (5, 4): X: 3, (5, 5): X: 3}
_____OX_____X_O__O___X___; X; {(1, 1): X: 3, (1, 2): X: 3, (1, 3): X: 3, (1, 4): X: 3, (1, 5): X: 3, (2, 3): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 4): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 3): X: 3, (5, 4): X: 6, (5, 5): X: 3}
_____OX___O_X_O__O___X_X_; X; {(1, 1): X: 3, (1, 2): X: 3, (1, 3): X: 3, (1, 4): X: 3, (1, 5): X: 3, (2, 3): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 2): X: 3, (3, 4): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 6, (5, 3): X: 3, (5, 5): X: 3}
O____OX___O_X_O__O__XX_X_; X; {(1, 2): X: 3, (1, 3): X: 3, (1, 4): X: 3, (1, 5): X: 3, (2, 3): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 2): X: 3, (3, 4): X: 3, (4, 1): X: 6, (4, 2): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 3): X: 3, (5, 5): X: 3}
O_O__OX___O_X_OX_O__XX_X_; X; {(1, 2): X: 3, (1, 4): X: 3, (1, 5): X: 3, (2, 3): X: 3, (2, 4): X: 6, (2, 5): X: 3, (3, 2): X: 3, (3, 4): X: 3, (4, 2): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 3): X: 3, (5, 5): X: 3}
O_O__OXOX_O_X_OX_O__XX_X_; X; {(1, 2): X: 3, (1, 4): X: 3, (1, 5): X: 3, (2, 5): X: 3, (3, 2): X: 3, (3, 4): X: 6, (4, 2): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 3): X: 3, (5, 5): X: 3}
O_OO_OXOX_O_XXOX_O__XX_X_; X; {(1, 2): X: 3, (1, 5): X: 3, (2, 5): X: 3, (3, 2): X: 3, (4, 2): X: 3, (4, 4): X: 3, (4, 5): X: 6, (5, 3): X: 3, (5, 5): X: 3}
O_OO_OXOX_O_XXOX_OOXXX_X_; X; {(1, 2): X: 3, (1, 5): X: 3, (2, 5): X: 3, (3, 2): X: 3, (4, 2): X: 6, (5, 3): X: 3, (5, 5): X: 3}
O_OOOOXOX_O_XXOXXOOXXX_X_; X; {(1, 2): X: 3, (2, 5): X: 3, (3, 2): X: 6, (5, 3): X: 3, (5, 5): X: 3}
O_OOOOXOX_OXXXOXXOOXXXOX_; X; {(1, 2): X: 3, (2, 5): X: 6, (5, 5): X: 3}
O_OOOOXOXXOXXXOXXOOXXXOXO; X; {(1, 2): X: 6}
X______O_________________; X; {(1, 2): X: 6, (1, 3): X: 3, (1, 4): X: 3, (1, 5): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 2): X: 3, (5, 3): X: 3, (5, 4): X: 3, (5, 5): X: 3}
XX_____O___O_____________; X; {(1, 3): X: 3, (1, 4): X: 3, (1, 5): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 3): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 6, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 2): X: 3, (5, 3): X: 3, (5, 4): X: 3, (5, 5): X: 3}
XX_____O__OO_____X_______; X; {(1, 3): X: 3, (1, 4): X: 3, (1, 5): X: 6, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 3): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 2): X: 3, (5, 3): X: 3, (5, 4): X: 3, (5, 5): X: 3}
XX__X__O__OO_____X______O; X; {(1, 3): X: 3, (1, 4): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 3): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 2): X: 6, (5, 3): X: 3, (5, 4): X: 3}
XX__X__O__OOO____X___X__O; X; {(1, 3): X: 3, (1, 4): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 3): X: 3, (5, 4): X: 6}
XX__X_OO__OOO____X___X_XO; X; {(1, 3): X: 3, (1, 4): X: 3, (2, 1): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 4): X: 6, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 3): X: 3}
XX__X_OO__OOOX__OX___X_XO; X; {(1, 3): X: 3, (1, 4): X: 3, (2, 1): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 4): X: 6, (4, 5): X: 3, (5, 1): X: 3, (5, 3): X: 3}
XX__X_OO_OOOOX__OXX__X_XO; X; {(1, 3): X: 3, (1, 4): X: 3, (2, 1): X: 6, (2, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 3): X: 3}
XX__XXOO_OOOOX__OXXO_X_XO; X; {(1, 3): X: 3, (1, 4): X: 6, (2, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (5, 1): X: 3, (5, 3): X: 3}
XX_XXXOO_OOOOXO_OXXO_X_XO; X; {(1, 3): X: 3, (2, 4): X: 3, (4, 1): X: 3, (5, 1): X: 6, (5, 3): X: 3}
XX_XXXOO_OOOOXOOOXXOXX_XO; X; {(1, 3): X: 3, (2, 4): X: 3, (5, 3): X: 6}
XX_XXXOOOOOOOXOOOXXOXXXXO; X; {(1, 3): X: 6}
__X_________O____________; X; {(1, 1): X: 3, (1, 2): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (3, 1): X: 3, (3, 2): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (5, 1): X: 3, (5, 2): X: 3, (5, 3): X: 4}
__X____O____O_________X__; X; {(1, 1): X: 3, (1, 2): X: 3, (2, 1): X: 3, (2, 2): X: 3, (3, 1): X: 3, (3, 2): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 4, (5, 1): X: 3, (5, 2): X: 3}
O_X____O____O____X____X__; X; {(1, 2): X: 3, (1, 4): X: 4, (1, 5): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 2): X: 3, (5, 4): X: 3, (5, 5): X: 3}
O_XX___O____O____X_O__X__; X; {(1, 2): X: 3, (1, 5): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 4): X: 3, (3, 5): X: 4, (4, 1): X: 3, (4, 2): X: 3, (4, 4): X: 3, (5, 1): X: 3, (5, 2): X: 3, (5, 4): X: 3, (5, 5): X: 3}
OOXX___O____O_X__X_O__X__; X; {(1, 5): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 4): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 4): X: 3, (5, 1): X: 4, (5, 2): X: 3, (5, 4): X: 3, (5, 5): X: 3}
OOXX___OO___O_X__X_OX_X__; X; {(1, 5): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 4): X: 3, (4, 1): X: 4, (4, 2): X: 3, (4, 4): X: 3, (5, 2): X: 3, (5, 4): X: 3, (5, 5): X: 3}
