5x5 Menace 2: O
XX__X_OO__OOOX___X___X_XO; O; {(1, 3): O: 3, (1, 4): O: 3, (2, 1): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 2, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 3): O: 3}
XX__X_OO__OOOX__OXX__X_XO; O; {(1, 3): O: 3, (1, 4): O: 3, (2, 1): O: 3, (2, 4): O: 3, (2, 5): O: 2, (3, 5): O: 3, (4, 1): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 3): O: 3}
XX__XXOO_OOOOX__OXX__X_XO; O; {(1, 3): O: 3, (1, 4): O: 3, (2, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 5): O: 2, (5, 1): O: 3, (5, 3): O: 3}
XX_XXXOO_OOOOX__OXXO_X_XO; O; {(1, 3): O: 3, (2, 4): O: 3, (3, 5): O: 2, (4, 1): O: 3, (5, 1): O: 3, (5, 3): O: 3}
XX_XXXOO_OOOOXO_OXXOXX_XO; O; {(1, 3): O: 3, (2, 4): O: 3, (4, 1): O: 2, (5, 3): O: 3}
XX_XXXOO_OOOOXOOOXXOXXXXO; O; {(1, 3): O: 3, (2, 4): O: 2}
__X______________________; O; {(1, 1): O: 3, (1, 2): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 2, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 4, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (5, 1): O: 3, (5, 2): O: 4, (5, 3): O: 3}
__X_________O_________X__; O; {(1, 1): O: 3, (1, 2): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 4, (3, 1): O: 3, (3, 2): O: 3}
__X____O____O____X____X__; O; {(1, 1): O: 4, (1, 2): O: 3, (2, 1): O: 3, (2, 2): O: 3, (3, 1): O: 3, (3, 2): O: 3, (4, 1): O: 3, (4, 2): O: 3, (5, 1): O: 3, (5, 2): O: 3}
O_XX___O____O____X____X__; O; {(1, 2): O: 3, (1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 4): O: 3, (4, 5): O: 4, (5, 1): O: 3, (5, 2): O: 3, (5, 4): O: 3, (5, 5): O: 3}
O_XX___O____O_X__X_O__X__; O; {(1, 2): O: 4, (1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 4): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 4): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 4): O: 3, (5, 5): O: 3}
OOXX___O____O_X__X_OX_X__; O; {(1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 4, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 4): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 4): O: 3, (5, 2): O: 3, (5, 4): O: 3, (5, 5): O: 3}
OOXX___OO___O_XX_X_OX_X__; O; {(1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 5): O: 3, (3, 1): O: 4, (3, 2): O: 3, (3, 4): O: 3, (4, 2): O: 3, (4, 4): O: 3, (5, 2): O: 3, (5, 4): O: 3, (5, 5): O: 3}
