Menace 1: X
_________; X; {(1, 1): X: 5835, (1, 2): X: 348, (2, 2): X: 1032}
X_______O; X; {(1, 2): X: 72, (1, 3): X: 3079, (2, 2): X: 1227, (2, 3): X: 143}
X___XO__O; X; {(1, 2): X: 2, (1, 3): X: 180}
XO__XO_XO; X; {(1, 3): X: 5, (2, 1): X: 4, (3, 1): X: 5}
XO_OXOXXO; X; {(1, 3): X: 27}
_O__X____; X; {(1, 1): X: 342, (2, 1): X: 70, (3, 1): X: 2, (3, 2): X: 15}
_OOXX____; X; {(1, 1): X: 9, (2, 3): X: 15, (3, 1): X: 2, (3, 2): X: 5, (3, 3): X: 8}
_OOXX_X_O; X; {(1, 1): X: 6, (2, 3): X: 9, (3, 2): X: 2}
X___O____; X; {(1, 2): X: 6, (1, 3): X: 6, (2, 3): X: 6, (3, 3): X: 3}
X_XOO____; X; {(1, 2): X: 117, (2, 3): X: 66, (3, 1): X: 6}
X_O______; X; {(1, 2): X: 4, (2, 1): X: 107, (2, 2): X: 9, (2, 3): X: 4, (3, 1): X: 236, (3, 2): X: 87, (3, 3): X: 10}
X_O__OX__; X; {(1, 2): X: 1, (2, 1): X: 342, (2, 2): X: 3, (3, 2): X: 9, (3, 3): X: 100}
XOO_XOX__; X; {(2, 1): X: 45, (3, 3): X: 48}
OX_______; X; {(1, 3): X: 3, (2, 1): X: 6, (2, 2): X: 3, (2, 3): X: 9, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3}
OX___X_O_; X; {(1, 3): X: 5, (2, 1): X: 3, (2, 2): X: 6, (3, 1): X: 3, (3, 3): X: 6}
OX__XX_OO; X; {(1, 3): X: 3, (2, 1): X: 9, (3, 1): X: 3}
X____O___; X; {(1, 2): X: 3, (1, 3): X: 3, (2, 1): X: 6, (2, 2): X: 6, (3, 1): X: 6, (3, 2): X: 3, (3, 3): X: 3}
XO___OX__; X; {(1, 3): X: 24, (2, 1): X: 12, (2, 2): X: 14, (3, 2): X: 5, (3, 3): X: 3}
XOX__OX_O; X; {(2, 1): X: 57, (2, 2): X: 39, (3, 2): X: 102}
X_O___XO_; X; {(1, 2): X: 7, (2, 1): X: 390, (2, 2): X: 20, (2, 3): X: 109, (3, 3): X: 46}
X_O_OXXO_; X; {(1, 2): X: 5, (2, 1): X: 45, (3, 3): X: 1}
X_O_X___O; X; {(2, 1): X: 8, (2, 3): X: 1062, (3, 1): X: 2, (3, 2): X: 2}
X_OOXX__O; X; {(1, 2): X: 35, (3, 1): X: 524, (3, 2): X: 610}
XOOOXXX_O; X; {(3, 2): X: 638}
XX____O_O; X; {(1, 3): X: 30, (2, 1): X: 2, (2, 2): X: 8, (2, 3): X: 11, (3, 2): X: 6}
XXO___OXO; X; {(2, 1): X: 3, (2, 2): X: 9, (2, 3): X: 5}
_X____O__; X; {(1, 1): X: 9, (1, 3): X: 2, (2, 1): X: 2, (2, 2): X: 5, (2, 3): X: 3, (3, 2): X: 3, (3, 3): X: 6}
XX_O__O__; X; {(1, 3): X: 9, (2, 2): X: 3, (2, 3): X: 3, (3, 2): X: 3, (3, 3): X: 6}
X___OX__O; X; {(1, 2): X: 23, (1, 3): X: 35, (2, 1): X: 1, (3, 1): X: 55, (3, 2): X: 5}
XX_OOX__O; X; {(1, 3): X: 9, (3, 1): X: 3, (3, 2): X: 8}
XX_OOXOXO; X; {(1, 3): X: 15}
XXO____O_; X; {(2, 1): X: 3, (2, 2): X: 5, (2, 3): X: 3, (3, 1): X: 3, (3, 3): X: 3}
XXO_X__OO; X; {(2, 1): X: 3, (2, 3): X: 2}
X___XO_O_; X; {(1, 2): X: 3, (1, 3): X: 6, (3, 3): X: 3}
X_XOXO_O_; X; {(1, 2): X: 9, (3, 1): X: 12}
_X__O____; X; {(1, 1): X: 16, (3, 1): X: 208, (3, 2): X: 7}
OX__O__X_; X; {(1, 3): X: 1, (2, 1): X: 2, (2, 3): X: 1, (3, 3): X: 11}
XX__O_O__; X; {(1, 3): X: 9, (2, 1): X: 6, (2, 3): X: 4, (3, 2): X: 1, (3, 3): X: 5}
XX__O_OOX; X; {(1, 3): X: 21, (2, 1): X: 3, (2, 3): X: 2}
XX__O__O_; X; {(1, 3): X: 9, (2, 1): X: 3, (2, 3): X: 3, (3, 1): X: 3, (3, 3): X: 6}
