First GUI MENACE: X
_X_O_X_O_; X; {(0, 0): X: 6, (0, 2): X: 3, (1, 1): X: 4, (2, 0): X: 8}
OX_O_XXO_; X; {(0, 2): X: 3, (1, 1): X: 3, (2, 2): X: 5}
OXOO_XXOX; X; {(1, 1): X: 7}
_X_OO__X_; X; {(0, 0): X: 6, (0, 2): X: 3, (1, 2): X: 6}
OX_OOX_X_; X; {(0, 2): X: 2, (2, 0): X: 8, (2, 2): X: 3}
OO__X__X_; X; {(0, 2): X: 70, (1, 0): X: 1, (1, 2): X: 1, (2, 0): X: 5, (2, 2): X: 16}
OOXOX__X_; X; {(1, 2): X: 2, (2, 0): X: 18, (2, 2): X: 2}
_X_O_XO__; X; {(0, 0): X: 9, (0, 2): X: 15, (1, 1): X: 3, (2, 1): X: 1, (2, 2): X: 8}
XX_OX__OO; X; {(0, 2): X: 24, (1, 2): X: 1, (2, 0): X: 7}
OXXO__X_O; X; {(1, 1): X: 6, (1, 2): X: 3, (2, 1): X: 3}
OX_XO____; X; {(0, 2): X: 2, (1, 2): X: 1, (2, 2): X: 11}
OXXXO__O_; X; {(1, 2): X: 3, (2, 0): X: 4, (2, 2): X: 6}
OXXXOXOO_; X; {(2, 2): X: 15}
_X____OOX; X; {(0, 0): X: 15, (0, 2): X: 6, (1, 0): X: 3, (1, 1): X: 3, (1, 2): X: 6}
XX___OOOX; X; {(0, 2): X: 12, (1, 0): X: 3, (1, 1): X: 6}
_X_O_X__O; X; {(0, 0): X: 6, (0, 2): X: 9, (1, 1): X: 5, (2, 0): X: 3, (2, 1): X: 3}
_XXO_X_OO; X; {(0, 0): X: 3, (1, 1): X: 3, (2, 0): X: 6}
OXXO_XXOO; X; {(1, 1): X: 6}
_X_OX__O_; X; {(0, 0): X: 5, (0, 2): X: 5, (1, 2): X: 3, (2, 0): X: 12, (2, 2): X: 6}
_XOOXX_O_; X; {(0, 0): X: 4, (2, 0): X: 3}
XXOOXX_OO; X; {(2, 0): X: 15}
XX_OOX_O_; X; {(0, 2): X: 12, (2, 0): X: 10, (2, 2): X: 4}
XX_OOXXOO; X; {(0, 2): X: 27}
X_O__XO__; X; {(0, 1): X: 2, (1, 0): X: 11, (1, 1): X: 3, (2, 1): X: 6, (2, 2): X: 3}
_X_O_XOOX; X; {(0, 0): X: 3, (0, 2): X: 12, (1, 1): X: 2}
OXOO_X_X_; X; {(1, 1): X: 3, (2, 0): X: 3, (2, 2): X: 2}
XO_XX_O_O; X; {(0, 2): X: 2, (1, 2): X: 6, (2, 1): X: 3}
XXOO_____; X; {(1, 1): X: 3, (1, 2): X: 7, (2, 0): X: 4, (2, 1): X: 3, (2, 2): X: 4}
XXOOO___X; X; {(1, 2): X: 3, (2, 0): X: 13}
XXOOO_XOX; X; {(1, 2): X: 23}
_X_OO_X__; X; {(0, 2): X: 1, (1, 2): X: 17, (2, 1): X: 2, (2, 2): X: 1}
XX_OO____; X; {(0, 2): X: 54, (1, 2): X: 11, (2, 0): X: 5, (2, 1): X: 1, (2, 2): X: 2}
_X_OXXO_O; X; {(0, 0): X: 4, (0, 2): X: 2, (2, 1): X: 21}
O_O_XX___; X; {(0, 1): X: 23, (1, 0): X: 15, (2, 0): X: 8, (2, 1): X: 22, (2, 2): X: 2}
OXO_XX_O_; X; {(1, 0): X: 6, (2, 0): X: 6, (2, 2): X: 3}
_XXO_XO_O; X; {(0, 0): X: 18, (1, 1): X: 2, (2, 1): X: 5}
O_XXX_OO_; X; {(0, 1): X: 8, (1, 2): X: 27, (2, 2): X: 4}
_XO___XO_; X; {(0, 0): X: 6, (1, 0): X: 3, (1, 1): X: 4, (1, 2): X: 20, (2, 2): X: 3}
_XO__XXOO; X; {(0, 0): X: 10, (1, 0): X: 6, (1, 1): X: 3}
XXO_OXXOO; X; {(1, 0): X: 45}
OXX_XO_O_; X; {(1, 0): X: 3, (2, 0): X: 9, (2, 2): X: 5}
OXX_XOOOX; X; {(1, 0): X: 17}
X_OXO____; X; {(0, 1): X: 1, (1, 2): X: 2, (2, 0): X: 36, (2, 1): X: 3, (2, 2): X: 2}
_X_OOX___; X; {(0, 0): X: 6, (0, 2): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 9}
_XOXO____; X; {(0, 0): X: 2, (1, 2): X: 3, (2, 0): X: 6, (2, 1): X: 3, (2, 2): X: 8}
_XOXO__OX; X; {(0, 0): X: 4, (1, 2): X: 4, (2, 0): X: 14}
_X_OXOXO_; X; {(0, 0): X: 12, (0, 2): X: 3, (2, 2): X: 3}
XX_OXOXOO; X; {(0, 2): X: 18}
XXOO__X_O; X; {(1, 1): X: 2, (1, 2): X: 4, (2, 1): X: 2}
XXOOOXX_O; X; {(2, 1): X: 103}
OXXOX___O; X; {(1, 2): X: 6, (2, 0): X: 6, (2, 1): X: 6}
_XOOOXX__; X; {(0, 0): X: 7, (2, 1): X: 6, (2, 2): X: 5}
_XXOO____; X; {(0, 0): X: 9, (1, 2): X: 15, (2, 0): X: 2, (2, 1): X: 1, (2, 2): X: 18}
_XXOO_O_X; X; {(0, 0): X: 6, (1, 2): X: 6, (2, 1): X: 3}
O___XX_O_; X; {(0, 1): X: 3, (0, 2): X: 6, (1, 0): X: 6, (2, 0): X: 9, (2, 2): X: 11}
O_XOX____; X; {(0, 1): X: 2, (1, 2): X: 9, (2, 0): X: 30, (2, 1): X: 2, (2, 2): X: 5}
_XOO__XXO; X; {(0, 0): X: 3, (1, 1): X: 3, (1, 2): X: 6}
OXOO_XXXO; X; {(1, 1): X: 18}
_XXOO_X_O; X; {(0, 0): X: 3, (1, 2): X: 3, (2, 1): X: 2}
_XOO____X; X; {(0, 0): X: 2, (1, 1): X: 3, (1, 2): X: 6, (2, 0): X: 6, (2, 1): X: 3}
XXOO_O__X; X; {(1, 1): X: 3, (2, 0): X: 3, (2, 1): X: 2}
_XOOX____; X; {(0, 0): X: 12, (1, 2): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3}
XXOOXO___; X; {(2, 0): X: 3, (2, 1): X: 6, (2, 2): X: 3}
OX_OX____; X; {(0, 2): X: 2, (1, 2): X: 3, (2, 0): X: 4, (2, 1): X: 12, (2, 2): X: 8}
O_OOXX__X; X; {(0, 1): X: 2, (2, 0): X: 6, (2, 1): X: 1}
OX__OOXX_; X; {(0, 2): X: 3, (1, 0): X: 6, (2, 2): X: 6}
OXXOXX_OO; X; {(2, 0): X: 6}
_XOO_XXO_; X; {(0, 0): X: 3, (1, 1): X: 8}
O_X_X_O__; X; {(0, 1): X: 3, (1, 0): X: 106, (1, 2): X: 5, (2, 1): X: 1}
O_X_X_OXO; X; {(0, 1): X: 21, (1, 0): X: 3, (1, 2): X: 2}
O_OOXXXXO; X; {(0, 1): X: 21}
_X__O_XO_; X; {(0, 0): X: 24, (0, 2): X: 2, (1, 0): X: 8, (1, 2): X: 7, (2, 2): X: 5}
_X__OXXOO; X; {(0, 0): X: 18, (1, 0): X: 2}
OXOOXXX_O; X; {(2, 1): X: 24}
_O__X_OX_; X; {(0, 0): X: 3, (0, 2): X: 3, (1, 0): X: 6, (1, 2): X: 6, (2, 2): X: 3}
XX___OXOO; X; {(0, 2): X: 3, (1, 0): X: 6, (1, 1): X: 3}
_XXOXO__O; X; {(0, 0): X: 3, (2, 0): X: 3, (2, 1): X: 12}
_X_OOXXO_; X; {(0, 0): X: 3, (0, 2): X: 9}
OXXOOXXO_; X; {(2, 2): X: 18}
O_O_XXOX_; X; {(0, 1): X: 9, (2, 2): X: 3}
XX__O_XOO; X; {(0, 2): X: 9, (1, 0): X: 3, (1, 2): X: 9}
XX_O__O__; X; {(0, 2): X: 6, (1, 1): X: 6, (1, 2): X: 3, (2, 1): X: 3, (2, 2): X: 3}
_XXO_XOO_; X; {(0, 0): X: 12}
_X_OXO___; X; {(0, 0): X: 3, (2, 0): X: 12, (2, 1): X: 3}
_XOOXOX__; X; {(0, 0): X: 3, (2, 1): X: 6, (2, 2): X: 6}
_X_XO_XOO; X; {(0, 0): X: 9, (0, 2): X: 3, (1, 2): X: 3}
_XXXOOXOO; X; {(0, 0): X: 9}
O___XXO__; X; {(0, 1): X: 5, (0, 2): X: 16, (1, 0): X: 9}
OXO_XXO__; X; {(1, 0): X: 12, (2, 1): X: 24, (2, 2): X: 1}
XX_OXO__O; X; {(0, 2): X: 3, (2, 0): X: 9, (2, 1): X: 6}
O_XOXX__O; X; {(0, 1): X: 3, (2, 0): X: 12, (2, 1): X: 3}
XXOO_X__O; X; {(1, 1): X: 3, (2, 0): X: 4, (2, 1): X: 7}
O_X_XO_XO; X; {(0, 1): X: 3, (1, 0): X: 9, (2, 0): X: 3}
OOXXXO_XO; X; {(2, 0): X: 12}
_XO_O_X__; X; {(0, 0): X: 3, (1, 0): X: 3, (1, 2): X: 3, (2, 1): X: 6, (2, 2): X: 9}
_X_XXO_OO; X; {(0, 0): X: 3, (0, 2): X: 1}
_X__OOX__; X; {(0, 0): X: 6, (0, 2): X: 2, (1, 0): X: 4, (2, 1): X: 1, (2, 2): X: 7}
XXO_O__XO; X; {(1, 0): X: 2, (1, 2): X: 2, (2, 0): X: 4}
_X_OO_XXO; X; {(0, 0): X: 1, (1, 2): X: 2}
_XO_OOX_X; X; {(0, 0): X: 3, (1, 0): X: 9, (2, 1): X: 9}
X_______O; X; {(0, 1): X: 6, (0, 2): X: 24, (1, 1): X: 5, (1, 2): X: 4}
XO___X__O; X; {(0, 2): X: 3, (1, 0): X: 2, (1, 1): X: 3, (2, 0): X: 3, (2, 1): X: 3}
OXOOX_XOX; X; {(1, 2): X: 14}
OX__O_X__; X; {(0, 2): X: 2, (1, 0): X: 1, (1, 2): X: 5, (2, 1): X: 5, (2, 2): X: 23}
OX__OOX_X; X; {(0, 2): X: 5, (1, 0): X: 6, (2, 1): X: 12}
_X_OX_XOO; X; {(0, 0): X: 5, (0, 2): X: 6, (1, 2): X: 12}
OX_O_X___; X; {(0, 2): X: 3, (1, 1): X: 2, (2, 0): X: 2, (2, 1): X: 3, (2, 2): X: 2}
