Second GUI MENACE: O
OXXXO____; O; {(1, 2): O: 4, (2, 0): O: 3, (2, 1): O: 2, (2, 2): O: 42}
OXXXOX_O_; O; {(2, 2): O: 21}
_X____O_X; O; {(0, 0): O: 6, (0, 2): O: 2, (1, 0): O: 6, (1, 1): O: 3, (1, 2): O: 7}
XX____OOX; O; {(0, 2): O: 2, (1, 0): O: 3, (1, 1): O: 3}
_XXO_X__O; O; {(0, 0): O: 3, (1, 1): O: 5, (2, 0): O: 2, (2, 1): O: 2}
_XXO_XXOO; O; {(0, 0): O: 2, (1, 1): O: 3}
_X_OX____; O; {(0, 0): O: 5, (0, 2): O: 1, (2, 0): O: 5, (2, 1): O: 7, (2, 2): O: 1}
_X_OXX_O_; O; {(0, 0): O: 3, (0, 2): O: 4, (2, 0): O: 3}
XXOOXX_O_; O; {(2, 0): O: 2, (2, 2): O: 4}
XX_O_X_O_; O; {(0, 2): O: 4, (1, 1): O: 2, (2, 0): O: 2, (2, 2): O: 3}
XX_OOXXO_; O; {(0, 2): O: 6, (2, 2): O: 1}
X_O__X___; O; {(0, 1): O: 2, (1, 0): O: 3, (1, 1): O: 5, (2, 0): O: 6, (2, 1): O: 2, (2, 2): O: 5}
XXO__XO__; O; {(1, 0): O: 3, (1, 1): O: 6, (2, 1): O: 3, (2, 2): O: 3}
_X_O_XO_X; O; {(0, 0): O: 3, (0, 2): O: 2, (1, 1): O: 3, (2, 1): O: 5}
_X_OXXOOX; O; {(0, 0): O: 15, (0, 2): O: 3}
_XOO_X_X_; O; {(0, 0): O: 6, (1, 1): O: 3, (2, 0): O: 3, (2, 2): O: 3}
OXOO_X_XX; O; {(1, 1): O: 2, (2, 0): O: 9}
XO_XX_O__; O; {(0, 2): O: 1, (1, 2): O: 3, (2, 1): O: 2, (2, 2): O: 2}
XXOO____X; O; {(1, 1): O: 4, (1, 2): O: 6, (2, 0): O: 3, (2, 1): O: 3}
XXOOO_X_X; O; {(1, 2): O: 18, (2, 1): O: 18}
_X_O__X__; O; {(0, 0): O: 3, (0, 2): O: 3, (1, 1): O: 7, (1, 2): O: 3, (2, 1): O: 3, (2, 2): O: 3}
_X_OO_X_X; O; {(0, 0): O: 1, (0, 2): O: 2, (1, 2): O: 36, (2, 1): O: 2}
XX__O____; O; {(0, 2): O: 315, (1, 0): O: 15, (1, 2): O: 2, (2, 0): O: 1, (2, 2): O: 5}
_X_OXX__O; O; {(0, 0): O: 3, (0, 2): O: 2, (2, 0): O: 5, (2, 1): O: 3}
XX_OXXO_O; O; {(0, 2): O: 2, (2, 1): O: 18}
OXO_XX___; O; {(1, 0): O: 7, (2, 0): O: 1, (2, 1): O: 2, (2, 2): O: 2}
O_O_XX_X_; O; {(0, 1): O: 3, (1, 0): O: 5, (2, 0): O: 1, (2, 2): O: 4}
O_OOXX_XX; O; {(0, 1): O: 6, (2, 0): O: 12}
O_XXX__O_; O; {(0, 1): O: 3, (1, 2): O: 3, (2, 0): O: 2, (2, 2): O: 3}
_X____XO_; O; {(0, 0): O: 5, (0, 2): O: 6, (1, 0): O: 1, (1, 1): O: 1, (1, 2): O: 3}
_XO__XXO_; O; {(0, 0): O: 5, (1, 0): O: 8, (1, 1): O: 3, (2, 2): O: 1}
XXO__XXOO; O; {(1, 0): O: 4}
OXX_X__O_; O; {(1, 0): O: 3, (1, 2): O: 3, (2, 0): O: 3, (2, 2): O: 3}
OXX_XO_OX; O; {(1, 0): O: 3, (2, 0): O: 5}
X_OX_____; O; {(0, 1): O: 2, (1, 1): O: 6, (1, 2): O: 2, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 2}
XXOXO____; O; {(1, 2): O: 2, (2, 0): O: 90, (2, 1): O: 9, (2, 2): O: 7}
_X_OOX__X; O; {(0, 0): O: 1, (0, 2): O: 9, (2, 0): O: 2, (2, 1): O: 1}
_XOXO___X; O; {(0, 0): O: 3, (1, 2): O: 6, (2, 0): O: 12, (2, 1): O: 5}
_XOXOX_OX; O; {(0, 0): O: 5, (2, 0): O: 9}
_X__XOXO_; O; {(0, 0): O: 3, (0, 2): O: 3, (1, 0): O: 2, (2, 2): O: 3}
XX_OXOXO_; O; {(0, 2): O: 1, (2, 2): O: 1}
XXOO__X__; O; {(1, 1): O: 3, (1, 2): O: 3, (2, 1): O: 3, (2, 2): O: 4}
XXOO_XX_O; O; {(1, 1): O: 5, (2, 1): O: 4}
OXXOX____; O; {(1, 2): O: 3, (2, 0): O: 9, (2, 1): O: 3, (2, 2): O: 2}
_X_OOXX__; O; {(0, 0): O: 4, (0, 2): O: 7, (2, 1): O: 2, (2, 2): O: 17}
_XXOO___X; O; {(0, 0): O: 1, (1, 2): O: 3, (2, 0): O: 2}
O___XX_OX; O; {(0, 1): O: 1, (0, 2): O: 6, (1, 0): O: 2, (2, 0): O: 3}
OO__XX_X_; O; {(0, 2): O: 24, (1, 0): O: 9, (2, 0): O: 1, (2, 2): O: 3}
O_XOX___X; O; {(0, 1): O: 3, (1, 2): O: 2, (2, 0): O: 6, (2, 1): O: 3}
_XOO_XXXO; O; {(0, 0): O: 1, (1, 1): O: 7}
OX__O__XX; O; {(0, 2): O: 17, (1, 0): O: 1, (1, 2): O: 2, (2, 0): O: 17}
_XXOO_XXO; O; {(0, 0): O: 15, (1, 2): O: 12}
_X_O____X; O; {(0, 0): O: 3, (0, 2): O: 9, (1, 1): O: 3, (1, 2): O: 3, (2, 0): O: 3, (2, 1): O: 3}
XXOO_O_XX; O; {(1, 1): O: 6, (2, 0): O: 3}
_XXO_XO__; O; {(0, 0): O: 3, (1, 1): O: 1, (2, 1): O: 9, (2, 2): O: 4}
XX__O_OX_; O; {(0, 2): O: 18, (1, 0): O: 3, (1, 2): O: 1, (2, 2): O: 2}
O_O_XX__X; O; {(0, 1): O: 3, (1, 0): O: 11, (2, 0): O: 9, (2, 1): O: 3}
_XOOXXXO_; O; {(0, 0): O: 9}
O_X_X_OX_; O; {(0, 1): O: 6, (1, 0): O: 33, (1, 2): O: 4, (2, 2): O: 3}
O_X_XXOXO; O; {(0, 1): O: 3, (1, 0): O: 18}
XX__OXXOO; O; {(0, 2): O: 1, (1, 0): O: 1}
OX_OXXX_O; O; {(0, 2): O: 2, (2, 1): O: 1}
XX____XOO; O; {(0, 2): O: 3, (1, 0): O: 2, (1, 1): O: 1, (1, 2): O: 2}
_XXOXO___; O; {(0, 0): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 2}
_XXOOXXO_; O; {(0, 0): O: 3}
_XXOOX___; O; {(0, 0): O: 2, (2, 0): O: 3, (2, 2): O: 3}
_XXOXXOO_; O; {(0, 0): O: 12}
_XXOOXOX_; O; {(0, 0): O: 15, (2, 2): O: 3}
_X_OXOX__; O; {(0, 0): O: 2, (0, 2): O: 2, (2, 1): O: 3, (2, 2): O: 2}
_X_XO_XO_; O; {(0, 0): O: 4, (0, 2): O: 3, (1, 2): O: 3, (2, 2): O: 10}
_XXXO_XOO; O; {(0, 0): O: 12, (1, 2): O: 2}
XX_OXOX_O; O; {(0, 2): O: 3, (2, 1): O: 1}
