5x5 Menace 3: X
OX___X_XXO_OO_O___XOXOOXX; X; {(1, 3): X: 3, (1, 4): X: 3, (1, 5): X: 3, (2, 2): X: 3, (3, 1): X: 3, (3, 4): X: 3, (4, 1): X: 3, (4, 2): X: 4, (4, 3): X: 3}
OX___XOXXO_OO_O_X_XOXOOXX; X; {(1, 3): X: 3, (1, 4): X: 3, (1, 5): X: 3, (3, 1): X: 4, (3, 4): X: 3, (4, 1): X: 3, (4, 3): X: 3}
OX___XOXXOXOOOO_X_XOXOOXX; X; {(1, 3): X: 3, (1, 4): X: 3, (1, 5): X: 4, (4, 1): X: 3, (4, 3): X: 3}
OX__XXOXXOXOOOOOX_XOXOOXX; X; {(1, 3): X: 3, (1, 4): X: 4, (4, 3): X: 3}
OX_XXXOXXOXOOOOOXOXOXOOXX; X; {(1, 3): X: 4}
_X___________________O___; X; {(1, 1): X: 3, (1, 3): X: 3, (1, 4): X: 3, (1, 5): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 3): X: 4, (5, 4): X: 3, (5, 5): X: 3}
_XO__________________OX__; X; {(1, 1): X: 3, (1, 4): X: 4, (1, 5): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 4): X: 3, (5, 5): X: 3}
_XOX____O____________OX__; X; {(1, 1): X: 3, (1, 5): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 4, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 4): X: 3, (5, 5): X: 3}
_XOX____O_______OX___OX__; X; {(1, 1): X: 3, (1, 5): X: 3, (2, 1): X: 4, (2, 2): X: 3, (2, 3): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 4): X: 3, (5, 5): X: 3}
_XOX_X__O__O____OX___OX__; X; {(1, 1): X: 3, (1, 5): X: 3, (2, 2): X: 3, (2, 3): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 3): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 4, (5, 4): X: 3, (5, 5): X: 3}
_XOX_X__O__OO___OX__XOX__; X; {(1, 1): X: 3, (1, 5): X: 4, (2, 2): X: 3, (2, 3): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 4): X: 3, (5, 5): X: 3}
_XOXXX__O__OO_O_OX__XOX__; X; {(1, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 4): X: 3, (4, 1): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 4): X: 3, (5, 5): X: 4}
_XOXXX__O__OO_OOOX__XOX_X; X; {(1, 1): X: 3, (2, 2): X: 4, (2, 3): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 4): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 4): X: 3}
_XOXXXX_O__OO_OOOX_OXOX_X; X; {(1, 1): X: 4, (2, 3): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 4): X: 3, (4, 4): X: 3, (5, 4): X: 3}
XXOXXXX_O__OO_OOOXOOXOX_X; X; {(2, 3): X: 3, (2, 5): X: 3, (3, 1): X: 4, (3, 4): X: 3, (5, 4): X: 3}
XXOXXXX_O_XOOOOOOXOOXOX_X; X; {(2, 3): X: 4, (2, 5): X: 3, (5, 4): X: 3}
XXOXXXXXO_XOOOOOOXOOXOXOX; X; {(2, 5): X: 4}
__X___O__________________; X; {(1, 1): X: 3, (1, 2): X: 3, (1, 4): X: 3, (1, 5): X: 3, (2, 1): X: 3, (2, 3): X: 3, (2, 4): X: 3, (2, 5): X: 4, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 2): X: 3, (5, 3): X: 3, (5, 4): X: 3, (5, 5): X: 3}
__X___O__X___________O___; X; {(1, 1): X: 3, (1, 2): X: 3, (1, 4): X: 3, (1, 5): X: 3, (2, 1): X: 3, (2, 3): X: 3, (2, 4): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (3, 4): X: 3, (3, 5): X: 4, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 3): X: 3, (5, 4): X: 3, (5, 5): X: 3}
__X___O__X___OX______O___; X; {(1, 1): X: 3, (1, 2): X: 3, (1, 4): X: 4, (1, 5): X: 3, (2, 1): X: 3, (2, 3): X: 3, (2, 4): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 3, (5, 3): X: 3, (5, 4): X: 3, (5, 5): X: 3}
__XX__O__X___OX____O_O___; X; {(1, 1): X: 3, (1, 2): X: 3, (1, 5): X: 3, (2, 1): X: 3, (2, 3): X: 3, (2, 4): X: 3, (3, 1): X: 4, (3, 2): X: 3, (3, 3): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (5, 1): X: 3, (5, 3): X: 3, (5, 4): X: 3, (5, 5): X: 3}
__XX__O_OXX__OX____O_O___; X; {(1, 1): X: 3, (1, 2): X: 3, (1, 5): X: 3, (2, 1): X: 4, (2, 3): X: 3, (3, 2): X: 3, (3, 3): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (5, 1): X: 3, (5, 3): X: 3, (5, 4): X: 3, (5, 5): X: 3}
O_XX_XO_OXX__OX____O_O___; X; {(1, 2): X: 3, (1, 5): X: 3, (2, 3): X: 3, (3, 2): X: 4, (3, 3): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (5, 1): X: 3, (5, 3): X: 3, (5, 4): X: 3, (5, 5): X: 3}
O_XX_XO_OXXX_OX____O_O_O_; X; {(1, 2): X: 3, (1, 5): X: 4, (2, 3): X: 3, (3, 3): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (5, 1): X: 3, (5, 3): X: 3, (5, 5): X: 3}
O_XXXXO_OXXX_OX____O_O_OO; X; {(1, 2): X: 3, (2, 3): X: 3, (3, 3): X: 3, (4, 1): X: 3, (4, 2): X: 4, (4, 3): X: 3, (4, 4): X: 3, (5, 1): X: 3, (5, 3): X: 3}
