Menace 2: O
XO___X___; O; {(1, 3): O: 2, (2, 1): O: 4, (2, 2): O: 18, (3, 1): O: 7, (3, 2): O: 9, (3, 3): O: 11}
XO_XOX___; O; {(3, 1): O: 7, (3, 2): O: 6, (3, 3): O: 2}
XOXXOX__O; O; {(3, 1): O: 9, (3, 2): O: 33}
_X_XO____; O; {(1, 1): O: 13, (1, 3): O: 11, (2, 3): O: 6, (3, 3): O: 3}
XXOXO____; O; {(2, 3): O: 5, (3, 1): O: 6, (3, 2): O: 3, (3, 3): O: 3}
XOO__XX__; O; {(2, 1): O: 1, (2, 2): O: 1, (3, 3): O: 10}
XOOO_XX_X; O; {(2, 2): O: 3, (3, 2): O: 3}
XX_OO___X; O; {(1, 3): O: 9, (2, 3): O: 27, (3, 1): O: 2, (3, 2): O: 6}
X_XX_O__O; O; {(1, 2): O: 1, (2, 2): O: 2}
XOXX_O_XO; O; {(3, 1): O: 11}
_O__X__X_; O; {(1, 1): O: 70, (3, 1): O: 8}
XO_OX__X_; O; {(1, 3): O: 1, (2, 3): O: 1, (3, 1): O: 3, (3, 3): O: 3}
_X_X___O_; O; {(1, 1): O: 5, (1, 3): O: 4, (2, 2): O: 5, (2, 3): O: 5, (3, 1): O: 7, (3, 3): O: 3}
_X_XO__OX; O; {(1, 1): O: 6, (1, 3): O: 11, (2, 3): O: 3, (3, 1): O: 4}
_XXXO_OOX; O; {(1, 1): O: 3, (2, 3): O: 3}
XOX_OX___; O; {(2, 1): O: 3, (3, 1): O: 8, (3, 2): O: 15, (3, 3): O: 5}
XOXOOX_X_; O; {(3, 3): O: 33}
XOOXOX_X_; O; {(3, 1): O: 12, (3, 3): O: 3}
XOX______; O; {(2, 1): O: 1, (2, 2): O: 22, (3, 1): O: 18, (3, 2): O: 9}
XOXO___X_; O; {(2, 2): O: 2, (2, 3): O: 7, (3, 1): O: 3, (3, 3): O: 4}
XX__X_O_O; O; {(1, 3): O: 3, (2, 1): O: 3, (2, 3): O: 1, (3, 2): O: 18}
O___XX___; O; {(1, 2): O: 3, (1, 3): O: 2, (2, 1): O: 31, (3, 1): O: 5, (3, 2): O: 2, (3, 3): O: 3}
OXXXOO_X_; O; {(3, 1): O: 5, (3, 3): O: 15}
XX__OOXXO; O; {(1, 3): O: 21, (2, 1): O: 3}
OX__X____; O; {(3, 2): O: 438}
OXX_X___O; O; {(2, 1): O: 3, (2, 3): O: 1, (3, 1): O: 7, (3, 2): O: 7}
_X_XX_OO_; O; {(1, 1): O: 3, (1, 3): O: 3, (2, 3): O: 2, (3, 3): O: 33}
XX_XXOOO_; O; {(1, 3): O: 1, (3, 3): O: 30}
XO__X__XO; O; {(1, 3): O: 14, (2, 1): O: 8, (2, 3): O: 6, (3, 1): O: 3}
XOO_X_XXO; O; {(2, 1): O: 7, (2, 3): O: 45}
X_OX_XO__; O; {(1, 2): O: 8, (2, 2): O: 15, (3, 2): O: 11, (3, 3): O: 5}
XOOX_XOX_; O; {(2, 2): O: 9, (3, 3): O: 2}
X_O__OX_X; O; {(1, 2): O: 2, (2, 1): O: 1, (2, 2): O: 2, (3, 2): O: 2}
_OX_XXOXO; O; {(1, 1): O: 1, (2, 1): O: 39}
OO_XX_X__; O; {(1, 3): O: 12, (2, 3): O: 3, (3, 2): O: 3, (3, 3): O: 3}
XOX_OXOX_; O; {(3, 3): O: 75}
XO___X_OX; O; {(1, 3): O: 3, (2, 1): O: 3, (2, 2): O: 9, (3, 1): O: 3}
X____X__O; O; {(1, 2): O: 6, (1, 3): O: 27, (2, 1): O: 27, (2, 2): O: 6, (3, 1): O: 112, (3, 2): O: 20}
X_X_OX__O; O; {(1, 2): O: 50, (2, 1): O: 1, (3, 1): O: 6, (3, 2): O: 1}
X_XOOX_XO; O; {(1, 2): O: 29}
XOX_XX_OO; O; {(2, 1): O: 1, (3, 1): O: 33}
XOO_XX_XO; O; {(2, 1): O: 28, (3, 1): O: 1}
XO__OX__X; O; {(1, 3): O: 3, (2, 1): O: 2, (3, 1): O: 15, (3, 2): O: 3}
XO_XXOOX_; O; {(1, 3): O: 1, (3, 3): O: 172}
_XX_O_XO_; O; {(1, 1): O: 5, (2, 1): O: 6, (2, 3): O: 2, (3, 3): O: 1}
_XXOO_XOX; O; {(1, 1): O: 3, (2, 3): O: 21}
_XX_X__OO; O; {(1, 1): O: 6, (2, 1): O: 2, (2, 3): O: 5, (3, 1): O: 30}
X__O_X_XO; O; {(1, 2): O: 6, (1, 3): O: 18, (2, 2): O: 6, (3, 1): O: 3}
_XOX__XO_; O; {(1, 1): O: 3, (2, 2): O: 3, (2, 3): O: 4, (3, 3): O: 1}
OOX_X__X_; O; {(2, 1): O: 9, (2, 3): O: 3, (3, 1): O: 4, (3, 3): O: 3}
OOXOXX_X_; O; {(3, 1): O: 24, (3, 3): O: 1}
XO__X_X_O; O; {(2, 1): O: 2}
XOXOX__XO; O; {(2, 3): O: 1, (3, 1): O: 26}
XO__XXXOO; O; {(1, 3): O: 1, (2, 1): O: 2}
XO_XX___O; O; {(1, 3): O: 3, (2, 3): O: 2, (3, 1): O: 3, (3, 2): O: 3}
